CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Março,1,2013,Março,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2084,2110,26,26,,,151.12,0.0,-14.27,,,136.85,136.85,0
H002 2013 Março,2,2013,Março,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2483,2567,84,84,,,521.78,0.0,-49.31,,,472.47,472.47,0
H003 2013 Março,3,2013,Março,2297124,2013-03-20,448,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,28634,29654,1020,1020,Lido,,6970.95,0.0,-658.76,,,6312.19,6312.19,0
H004 2013 Março,4,2013,Março,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,447,461,14,14,,,68.78,0.0,-6.5,,,62.28,62.28,0
H005 2013 Março,5,2013,Março,2297078,2013-03-20,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,5386,5653,267,267,Lido,,1804.62,,-170.54,,,1634.08,1634.08,0
H006 2013 Março,6,2013,Março,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,334,409,75,75,,,487.3,,-46.05,,,441.25,441.25,0
H007 2013 Março,7,2013,Março,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,321,402,81,81,,,528.47,,-49.94,,,478.53,478.53,0
H008 2013 Março,8,2013,Março,2297159,2013-03-20,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,8950,9630,680,680,Lido,,4638.21,,-438.31,,,4199.9,4199.9,0
H009 2013 Março,9,2013,Março,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,219,259,40,40,,,247.17,,-23.36,,,223.81,223.81,0
H010 2013 Março,10,2013,Março,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1115,1135,20,20,,,109.95,,-10.39,,,99.56,99.56,0
H011 2013 Março,11,2013,Março,8149615,2013-03-20,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,161,441,280,280,Lido,,1893.81,,-178.96,,,1714.85,1714.85,0
H014 2013 Março,12,2013,Março,2296969,2013-03-20,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,380996,392186,11190,11190,Lido,,76710.51,76710.51,-14498.29,,,138922.73,138922.73,0
H015 2013 Março,13,2013,Março,2296918,2013-03-19,A95S021949,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,5760,4729,-1031,226,Informado,,1804.05,1804.05,-340.96,,,3267.14,3267.14,0
H017 2013 Março,14,2013,Março,2296950,2013-03-20,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,1.0,,2,26460,27261,801,801,Lido,,6061.37,6061.37,-1145.6,,,10977.14,10977.14,0
H018 2013 Março,15,2013,Março,2296640,2013-03-19,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,512,525,13,13,Lido,,61.92,61.92,-11.7,,,112.14,112.14,0
H019 2013 Março,16,2013,Março,9097821,2013-03-19,793193,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,1877,2005,128,128,Lido,,848.44,848.44,-160.36,,,1536.52,1536.52,0
H020 2013 Março,17,2013,Março,2296829,2013-03-19,C09B271060,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,16592,17066,474,474,Lido,,3224.84,3224.84,-609.49,,,5840.19,5840.19,0
H021 2013 Março,18,2013,Março,2296632,2013-03-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,595,589,-6,20,Informado,,82.68,82.68,-15.62,,,149.74,149.74,0
H023 2013 Março,19,2013,Março,2296934,2013-03-19,A93S053431,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,1938,2285,347,347,Lido,,2415.16,2415.16,-456.47,,,4373.85,4373.85,0
