CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1239.0,1265.0,26.0,Lido,0,243.79,0.0,-23.03,0.0,0.0,220.76,11,2019-11-20
H002 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,5769.0,5834.0,65.0,Lido,0,631.46,0.0,-59.66,0.0,0.0,571.8,11,2019-11-20
H003 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,17440.0,17800.0,360.0,Lido,0,3940.54,0.0,-372.39,0.0,0.0,3568.15,11,2019-11-20
H004 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2659.0,2706.0,47.0,Informado,Confirmação leitura,476.22,0.0,-45.01,0.0,0.0,431.21,11,2019-11-20
H005 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,19639.0,19716.0,77.0,Lido,0,808.26,0.0,-76.38,0.0,0.0,731.88,11,2019-11-20
H006 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,6.0,7.0,10.0,Mínimo,0,66.7,0.0,-6.3,0.0,0.0,60.4,11,2019-11-20
H007 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,679.0,953.0,274.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2988.68,0.0,-282.44,0.0,0.0,2706.24,11,2019-11-20
H008 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,28642.0,29687.0,1045.0,Informado,Confirmação leitura,11522.18,0.0,-1088.84,0.0,0.0,10433.34,11,2019-11-20
H009 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,32.0,36.0,10.0,Mínimo,0,66.7,0.0,-6.3,0.0,0.0,60.4,11,2019-11-20
H010 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1502.0,1542.0,40.0,Lido,0,398.74,0.0,-37.68,0.0,0.0,361.06,11,2019-11-20
H011 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,8149615.0,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,35367.0,35520.0,153.0,Informado,Confirmação leitura,1649.44,0.0,-155.86,0.0,0.0,1493.58,11,2019-11-20
H014 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,17859999.0,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51.0,0.0,6.0,1.0,58.0,610139.0,619833.0,9694.0,0,0,106749.7,106749.7,-20175.689999999995,0.0,1222006.46,1415330.17,11,2019-11-20
H015 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296918.0,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1.0,0.0,0.0,0.0,1.0,61.0,72.0,11.0,Informado,Confirmação leitura,77.77,77.77,-14.71,0.0,0.0,140.83,11,2019-11-20
H017 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296950.0,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1.0,0.0,0.0,0.0,1.0,4836.0,5516.0,680.0,Informado,Confirmação leitura,7482.33,7482.33,-1414.16,0.0,0.0,13550.5,11,2019-11-20
H018 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296640.0,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1.0,0.0,0.0,0.0,1.0,2762.0,2807.0,45.0,Lido,0,454.08,454.08,-85.81,0.0,0.0,822.35,11,2019-11-20
H019 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9097821.0,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1.0,0.0,1.0,0.0,2.0,5222.0,5325.0,103.0,Lido,0,1056.34,1056.34,-199.65,0.0,0.0,1913.03,11,2019-11-20
H020 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296829.0,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1.0,0.0,0.0,0.0,1.0,8914.0,9212.0,298.0,Informado,Confirmação leitura,3254.31,3254.31,-615.07,0.0,0.0,5893.55,11,2019-11-20
H021 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296632.0,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2.0,0.0,0.0,0.0,2.0,4306.0,4436.0,130.0,Lido,0,1350.89,1350.89,-255.32,0.0,0.0,2446.46,11,2019-11-20
H023 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296934.0,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1.0,0.0,0.0,0.0,1.0,9831.0,10024.0,193.0,Lido,0,2092.16,2092.16,-395.42,0.0,0.0,3788.9,11,2019-11-20
H024 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296926.0,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1.0,0.0,1.0,0.0,2.0,1.0,1.0,20.0,Informado,Confirmação leitura,133.4,133.4,-25.21,0.0,0.0,241.59,11,2019-11-20
H025 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296900.0,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1.0,0.0,0.0,0.0,1.0,25898.0,26455.0,557.0,Informado,Hidrômetro invertido,6120.95,6120.95,-1156.86,0.0,0.0,11085.04,11,2019-11-20
H026 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9912770.0,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1.0,0.0,0.0,0.0,1.0,361.0,405.0,44.0,Lido,0,443.02,443.02,-83.73,0.0,0.0,802.31,11,2019-11-20
H027 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,16701186.0,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1.0,0.0,0.0,0.0,1.0,49357.0,49371.0,14.0,Média,Vidro do hidrômetro suado,110.97,110.97,0.0,0.0,0.0,221.94,11,2019-11-20
H028 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6205615.0,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,Mínimo,Hidrômetro parado,66.7,66.7,-12.6,0.0,0.0,120.8,11,2019-11-20
H029 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,7297220.0,Trindade,A08X051927,H029,CASAN,Florianópolis - Trindade,Moradia Estudantil - Portaria,1.0,0.0,0.0,0.0,1.0,2049.0,2053.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,11,2019-11-20
H030 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296276.0,Trindade,E11C000101,H030,CASAN,Florianópolis - Trindade,Moradia Estudantil,0.0,30.0,0.0,0.0,30.0,14211.0,14699.0,488.0,Informado,Confirmação leitura,2912.6,2912.6,-550.48,0.0,0.0,5274.72,11,2019-11-20
H032 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296659.0,Trindade,C11C001576,H032,CASAN,Florianópolis - Trindade,Biblioteca Central,1.0,0.0,0.0,0.0,1.0,12266.0,12630.0,364.0,Lido,0,3984.81,3984.81,-753.13,0.0,0.0,7216.49,11,2019-11-20
H033 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296667.0,Trindade,B10C014063,H033,CASAN,Florianópolis - Trindade,"CTC - Salas de Aula, Eng. Elétrica, Produção - CTC 1 ao 5, ",1.0,0.0,1.0,0.0,2.0,686.0,851.0,165.0,Lido,0,1831.06,1831.06,-346.06,0.0,0.0,3316.06,11,2019-11-20
H034 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,8416621.0,Trindade,B10C014069,H034,CASAN,Florianópolis - Trindade,CTC - Eng. Sanitária e Amb. - CTC 12 e 37,1.0,0.0,0.0,0.0,1.0,10278.0,10538.0,260.0,Lido,0,2833.73,2833.73,-535.57,0.0,0.0,5131.89,11,2019-11-20
H035 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296845.0,Trindade,B10C022164,H035,CASAN,Florianópolis - Trindade,CTC - Eng. Elétrica INEP - CTC 06,1.0,0.0,0.0,0.0,1.0,161.0,178.0,17.0,Lido,0,144.18,144.18,-27.24,0.0,0.0,261.12,11,2019-11-20
H037 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6435548.0,Trindade,Y13F347112,H037,CASAN,Florianópolis - Trindade,"CTC - Eng. Mecânica - CTC 9, 10 e 37",1.0,0.0,0.0,1.0,2.0,8068.0,8208.0,140.0,Lido,0,1461.58,1461.58,-276.23,0.0,0.0,2646.93,11,2019-11-20
H038 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296683.0,Trindade,B10C014806,H038,CASAN,Florianópolis - Trindade,CTC - Eng. Mecânica CTC 11 Bloco B (Pavilhão) e CTC 31 INE,1.0,0.0,0.0,0.0,1.0,521.0,1056.0,535.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,5877.45,5877.45,-1110.85,0.0,0.0,10644.05,11,2019-11-20
H040 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296691.0,Trindade,C11C000642,H040,CASAN,Florianópolis - Trindade,Reitoria I,1.0,0.0,0.0,0.0,1.0,35507.0,35846.0,339.0,Informado,Confirmação leitura,3708.1,3708.1,-700.84,0.0,0.0,6715.36,11,2019-11-20
H041 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296810.0,Trindade,C11C010608,H041,CASAN,Florianópolis - Trindade,CCE 1  Básico,1.0,0.0,1.0,0.0,2.0,12881.0,12968.0,87.0,Lido,0,874.96,874.96,-165.37,0.0,0.0,1584.55,11,2019-11-20
H042 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296802.0,Trindade,C11C001909,H042,CASAN,Florianópolis - Trindade,CCE 2  R. Eng. Andrey C. Ferreira,1.0,0.0,0.0,0.0,1.0,0.0,9287.0,10.0,Informado,Confirmação leitura,66.7,66.7,-12.6,0.0,0.0,120.8,11,2019-11-20
H043 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6816860.0,Trindade,A94S171408,H043,CASAN,Florianópolis - Trindade,Casa de Veg.  Depto. de Microbiologia,1.0,0.0,0.0,0.0,1.0,885.0,888.0,10.0,Mínimo,0,66.7,66.7,-12.6,0.0,0.0,120.8,11,2019-11-20
H044 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296896.0,Trindade,C11C001908,H044,CASAN,Florianópolis - Trindade,CFM Oceanografia e entorno,1.0,0.0,0.0,0.0,1.0,3043.0,3226.0,183.0,Lido,0,1981.48,1981.48,-374.5,0.0,0.0,3588.46,11,2019-11-20
H045 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296772.0,Trindade,,H045,CASAN,Florianópolis - Trindade,"Museologia e MArquE (MU01, MU10 e CFH09)",1.0,0.0,0.0,0.0,1.0,1196.0,1206.0,10.0,Lido,0,66.7,66.7,-12.6,0.0,0.0,120.8,11,2019-11-20
H046 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296780.0,Trindade,B10C017966,H046,CASAN,Florianópolis - Trindade,CCB Botânica,1.0,0.0,0.0,0.0,1.0,5087.0,5213.0,126.0,Lido,0,1350.6,1350.6,-255.27,0.0,0.0,2445.93,11,2019-11-20
H047 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296837.0,Trindade,C11C009598,H047,CASAN,Florianópolis - Trindade,"NDI, MArquE, APUFSC, Escoteiro e Horta",1.0,0.0,0.0,0.0,1.0,7640.0,7853.0,213.0,Lido,0,2313.52,2313.52,-437.26,0.0,0.0,4189.78,11,2019-11-20
H048 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296764.0,Trindade,C11C001910,H048,CASAN,Florianópolis - Trindade,Centro de Filosofia e Humanas 1,1.0,0.0,0.0,0.0,1.0,26299.0,26693.0,394.0,Informado,Confirmação leitura,4316.85,4316.85,-815.89,0.0,0.0,7817.81,11,2019-11-20
H049 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9197478.0,Trindade,B10C019220,H049,CASAN,Florianópolis - Trindade,Centro de Educação 1,1.0,0.0,0.0,0.0,1.0,1380.0,1759.0,379.0,Lido,0,4150.83,4150.83,-784.51,0.0,0.0,7517.15,11,2019-11-20
H050 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296748.0,Trindade,A13C020929,H050,CASAN,Florianópolis - Trindade,Centro de Educação 2,1.0,0.0,0.0,0.0,1.0,341.0,495.0,154.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,1660.51,1660.51,-313.84,0.0,0.0,3007.18,11,2019-11-20
H051 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296756.0,Trindade,A13C043944,H051,CASAN,Florianópolis - Trindade,Centro de Convivência,1.0,0.0,4.0,0.0,5.0,1009.0,1040.0,50.0,Mínimo,0,333.5,333.5,-63.04,0.0,0.0,603.96,11,2019-11-20
H053 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296713.0,Trindade,C11C010440,H053,CASAN,Florianópolis - Trindade,"Centro de Eventos, NUMA, Editora UFSC, EGC",1.0,0.0,0.0,0.0,1.0,9987.0,10430.0,443.0,Informado,Confirmação leitura,4859.19,4859.19,-918.38,0.0,0.0,8800.0,11,2019-11-20
H054 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,6923020.0,Trindade,B17C002561,H054,CASAN,Florianópolis - Trindade,Arquitetura e Urbanismo,1.0,0.0,0.0,0.0,1.0,9421.0,9518.0,97.0,Informado,Confirmação leitura,1029.62,1029.62,-194.6,0.0,0.0,1864.64,11,2019-11-20
H055 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296705.0,Trindade,G15AA00021,H055,CASAN,Florianópolis - Trindade,Centro de Desportos,1.0,0.0,1.0,0.0,2.0,177239.0,357.0,357.0,Informado,Confirmação leitura,4230.19,0.0,-399.76,0.0,0.0,3830.43,11,2019-11-20
H056 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296721.0,Trindade,E11C000742,H056,CASAN,Florianópolis - Trindade,"Restaurante Universitário 2 e entorno: LABIME, LCME, Aloj. E. Indígena, RU Adm, RU03, RU09",1.0,0.0,1.0,0.0,2.0,64451.0,65648.0,1197.0,Informado,Confirmação leitura,14726.41,14726.41,-2783.29,0.0,0.0,26669.53,11,2019-11-20
H057 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297108.0,Trindade,A95L322012,H057,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária - Oficina, Serralheria e Mecânica (PU11)",1.0,0.0,0.0,0.0,1.0,29.0,109.0,80.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,841.47,0.0,-79.51,0.0,0.0,761.96,11,2019-11-20
H058 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9611070.0,Trindade,C11C005856,H058,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 2 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,621.0,931.0,310.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,3387.13,3387.13,-640.16,0.0,0.0,6134.1,11,2019-11-20
H059 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296675.0,Trindade,A13C020930,H059,CASAN,Florianópolis - Trindade,CTC - Setic e Almoxarifado (CTC 8 e 14),1.0,0.0,0.0,0.0,1.0,1659.0,1685.0,26.0,Lido,0,243.79,243.79,-46.08,0.0,0.0,441.5,11,2019-11-20
H060 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,5329663.0,Trindade,A13C021299,H060,CASAN,Florianópolis - Trindade,Reitoria II,1.0,0.0,0.0,0.0,1.0,1619.0,1809.0,190.0,Informado,Confirmação leitura,2058.96,2058.96,-389.15,0.0,0.0,3728.77,11,2019-11-20
H061 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2296870.0,Trindade,B10C013871,H061,CASAN,Florianópolis - Trindade,CCB Anatômico,1.0,0.0,1.0,0.0,2.0,682.0,739.0,57.0,Lido,0,542.92,542.92,-102.62,0.0,0.0,983.22,11,2019-11-20
H062 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,15023672.0,Trindade,C11C010415,H062,CASAN,Florianópolis - Trindade,CFM  Bloco EFI,1.0,0.0,0.0,0.0,1.0,8464.0,9110.0,646.0,Lido,0,7106.01,7106.01,-1343.04,0.0,0.0,12868.98,11,2019-11-20
H066 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,17091764.0,Trindade,F11C000153,H066,CASAN,Florianópolis - Trindade,"CCB - Blocos E, F e G e Biotério (BIC 12)",1.0,0.0,0.0,0.0,1.0,350.0,308.0,10.0,Mínimo,Confirmação leitura,66.7,0.0,-6.3,0.0,0.0,60.4,11,2019-11-20
H072 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297167.0,Florianópolis - CCA,B10C017343,H072,CASAN,Florianópolis - Outros,CCA - Itacorubi - CCA 1,1.0,0.0,0.0,0.0,1.0,13791.0,13929.0,138.0,Lido,0,1483.42,0.0,-140.17,0.0,0.0,1343.25,11,2019-11-20
H073 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297175.0,Florianópolis - CCA,A05S578217,H073,CASAN,Florianópolis - Outros,CCA - Itacorubi - AQUOS (ex-NEPAQ) Serv. Caminho do Porto,1.0,0.0,0.0,0.0,1.0,9989.0,137.0,10.0,Mínimo,Confirmação leitura,66.7,0.0,-6.3,0.0,0.0,60.4,11,2019-11-20
