CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Fevereiro,1,2013,Fevereiro,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2065,2084,19,19,,,103.09,,-9.74,,,93.35,93.35,0
H002 2013 Fevereiro,2,2013,Fevereiro,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2475,2483,8,20,,,82.68,,-7.82,,,74.86,74.86,0
H003 2013 Fevereiro,3,2013,Fevereiro,2297124,2013-02-20,448,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,27186,28634,1448,1448,Lido,,9907.46,,-936.25,,,8971.21,8971.21,0
H004 2013 Fevereiro,4,2013,Fevereiro,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,436,447,11,11,,,48.2,,-4.55,,,43.65,43.65,0
H005 2013 Fevereiro,5,2013,Fevereiro,2297078,,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,4617,5386,769,769,,,5248.84,,-496.02,,,4752.82,4752.82,0
H006 2013 Fevereiro,6,2013,Fevereiro,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,242,334,92,92,,,603.94,,-57.08,,,546.86,546.86,0
H007 2013 Fevereiro,7,2013,Fevereiro,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,275,321,46,46,,,288.34,,-27.24,,,261.1,261.1,0
H008 2013 Fevereiro,8,2013,Fevereiro,2297159,,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,8173,8950,777,777,,,5303.73,,-501.2,,,4802.53,4802.53,0
H009 2013 Fevereiro,9,2013,Fevereiro,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,188,219,31,31,,,185.42,,-17.52,,,167.9,167.9,0
H010 2013 Fevereiro,10,2013,Fevereiro,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1092,1115,23,23,,,130.53,,-12.35,,,118.18,118.18,0
H011 2013 Fevereiro,11,2013,Fevereiro,8149615,,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,9723,161,-9562,438,,,2977.85,,-281.42,,,2696.43,2696.43,0
H014 2013 Fevereiro,12,2013,Fevereiro,2296969,2013-02-20,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,369235,380996,11761,11761,Lido,,80732.67,80732.67,-15258.47,,,146206.87,146206.87,0
