CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,143.0,148.0,5.0,LIDO,0,52.49,0.0,-4.95,0.0,0.0,47.54,9,2021-09-20
H002 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,573.0,653.0,80.0,LIDO,ALTO CONSUMO,898.88,0.0,-84.95,0.0,0.0,813.93,9,2021-09-20
H003 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,23906.0,24057.0,151.0,LIDO,ALTO CONSUMO,1835.83,0.0,-173.48,0.0,0.0,1662.35,9,2021-09-20
H004 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,68.0,105.0,37.0,LIDO,0,411.97,0.0,-38.93,0.0,0.0,373.04,9,2021-09-20
H005 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,562.0,647.0,85.0,LIDO,ALTO CONSUMO,1011.49,0.0,-95.57,0.0,0.0,915.92,9,2021-09-20
H006 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,10.0,11.0,1.0,LIDO,ALTO CONSUMO,34.69,0.0,-3.29,0.0,0.0,31.4,9,2021-09-20
H007 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,3761.0,3808.0,47.0,LIDO/REVISÃO,CONFIRMAÇÃO DE LEITURA,536.87,0.0,-50.74,0.0,0.0,486.13,9,2021-09-20
H008 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,37015.0,37860.0,845.0,LIDO/REVISÃO,ALTO CONSUMO,10503.89,0.0,-992.63,0.0,0.0,9511.26,9,2021-09-20
H009 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,81.0,82.0,1.0,LIDO,0,34.69,0.0,-3.29,0.0,0.0,31.4,9,2021-09-20
H010 2021 Setembro,Medidor faturado pela UFSC,2021.0,Setembro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1723.0,1727.0,4.0,LIDO,0,48.04,0.0,-4.54,0.0,0.0,43.5,9,2021-09-20
