CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2015 Fevereiro,1,2015,Fevereiro,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2796,2809,13,13,,,70.88,,-6.7,,,64.18,64.18,0
H002 2015 Fevereiro,2,2015,Fevereiro,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2914,2927,13,20,,,94.64,,-8.95,,,85.69,85.69,0
H003 2015 Fevereiro,3,2015,Fevereiro,2297124,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,6274,6626,352,352,,,2733.01,,-258.26,,,2474.75,2474.75,0
H004 2015 Fevereiro,4,2015,Fevereiro,2297086,2015-02-19,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1404,1475,71,71,Lido,,526.35,,-49.73,,,476.62,476.62,0
H005 2015 Fevereiro,5,2015,Fevereiro,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,3122,3219,97,97,,,730.52,,-69.04,,,661.48,661.48,0
H006 2015 Fevereiro,6,2015,Fevereiro,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1863,1910,47,47,,,337.88,,-31.94,,,305.94,305.94,0
H007 2015 Fevereiro,7,2015,Fevereiro,9185550,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1853,1868,15,15,,,86.58,,-8.19,,,78.39,78.39,0
H008 2015 Fevereiro,8,2015,Fevereiro,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,7809,8361,552,552,,,4303.59,,-406.69,,,3896.9,3896.9,0
H009 2015 Fevereiro,9,2015,Fevereiro,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1136,1169,33,33,,,227.94,,-21.54,,,206.4,206.4,0
H010 2015 Fevereiro,10,2015,Fevereiro,2297132,2015-02-19,,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1786,1831,45,45,Médio,,322.17,,-30.44,,,291.73,291.73,0
H011 2015 Fevereiro,11,2015,Fevereiro,8149615,,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,12233,13465,1232,1232,,,9643.56,,-911.32,,,8732.24,8732.24,0
H014 2015 Fevereiro,12,2015,Fevereiro,2296969,,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,116654,129476,12822,12822,,,100958.76,100958.76,-19081.21,,,182836.31,182836.31,0
H015 2015 Fevereiro,13,2015,Fevereiro,2296918,2015-02-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,6022,6564,542,542,Médio,,5186.46,5186.46,-980.24,,,9392.68,9392.68,0
H017 2015 Fevereiro,14,2015,Fevereiro,2296950,2015-02-19,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,12451,12788,337,337,Lido,,2615.22,2615.22,-494.27,,,4736.17,4736.17,0
H018 2015 Fevereiro,15,2015,Fevereiro,2296640,2015-02-19,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,25,48,23,23,Lido,,149.41,149.41,-28.23,,,270.59,270.59,0
H019 2015 Fevereiro,16,2015,Fevereiro,9097821,2015-02-19,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,5782,6372,590,590,Lido,,5067.04,5067.04,-957.67,,,9176.41,9176.41,0
H020 2015 Fevereiro,17,2015,Fevereiro,2296829,2015-02-19,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,11868,12280,412,412,Lido,,3204.19,3204.19,-605.58,,,5802.8,5802.8,0
H021 2015 Fevereiro,18,2015,Fevereiro,2296632,2015-02-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,956,976,20,20,Médio,,94.64,94.64,-17.89,,,171.39,171.39,0
H023 2015 Fevereiro,19,2015,Fevereiro,2296934,2015-02-19,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,5346,5539,193,193,Lido,,1451.02,1451.02,-274.24,,,2627.8,2627.8,0
H024 2015 Fevereiro,20,2015,Fevereiro,2296926,2015-02-19,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,174,174,0,20,Mínimo,,94.64,94.64,-17.89,,,171.39,171.39,0
H025 2015 Fevereiro,21,2015,Fevereiro,2296900,2015-02-19,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,9525,9823,298,298,Lido,,2308.96,2308.96,-436.4,,,4181.52,4181.52,0
H026 2015 Fevereiro,22,2015,Fevereiro,9912770,2015-02-19,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,675,712,37,37,Lido,,259.35,259.35,-49.02,,,469.68,469.68,0
H027 2015 Fevereiro,23,2015,Fevereiro,2296888,2015-02-19,C11C000341,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,8740,9616,876,876,Lido,,6847.93,6847.93,-1294.26,,,12401.6,12401.6,0
H028 2015 Fevereiro,24,2015,Fevereiro,6205615,2015-02-19,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,7408,7408,0,10,Mínimo,,47.32,47.32,-8.95,,,85.69,85.69,0
H029 2015 Fevereiro,25,2015,Fevereiro,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1904,1906,2,10,,,47.32,47.32,-8.95,,,85.69,85.69,0
H030 2015 Fevereiro,26,2015,Fevereiro,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,,,,,0,19996,20666,670,670,,,3135.81,3135.81,-592.68,,,5678.94,5678.94,0
H032 2015 Fevereiro,27,2015,Fevereiro,2296659,2015-02-19,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,15716,15826,110,110,Lido,,832.61,832.61,-157.36,,,1507.86,1507.86,0
H033 2015 Fevereiro,28,2015,Fevereiro,2296667,2015-02-19,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,3369,3458,89,89,Lido,,636.5,636.5,-120.29,,,1152.71,1152.71,0
H034 2015 Fevereiro,29,2015,Fevereiro,8416621,2015-02-19,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,7206,7319,113,113,Lido,,856.17,856.17,-161.81,,,1550.53,1550.53,0
H035 2015 Fevereiro,30,2015,Fevereiro,2296845,2015-02-19,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,110,122,12,12,Lido,,63.03,63.03,-11.91,,,114.15,114.15,0
H037 2015 Fevereiro,31,2015,Fevereiro,6435548,2015-02-19,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2,1166,1236,70,70,Lido,,487.28,487.28,-92.1,,,882.46,882.46,0
