CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2014 Agosto,1,2014,Agosto,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1,0,0,0,1,2623,2650,27,,,180.82,,-17.09,,,163.73,8,2014-08-20
H002 2014 Agosto,2,2014,Agosto,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2,0,0,0,2,2817,2833,20,,,94.64,,-8.95,,,85.69,8,2014-08-20
H003 2014 Agosto,3,2014,Agosto,2297124,,,H003,CASAN,Florianópolis,Biotério Central,1,0,0,0,1,4082,4441,359,,,2787.98,,-263.46,,,2524.52,8,2014-08-20
H004 2014 Agosto,4,2014,Agosto,2297086,2014-08-19,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1,0,0,0,1,887,962,75,Lido,,557.76,,-52.71,,,505.05,8,2014-08-20
H005 2014 Agosto,5,2014,Agosto,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1,0,0,0,1,2265,2397,132,,,1005.37,,-95.0,,,910.37,8,2014-08-20
H006 2014 Agosto,6,2014,Agosto,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1,0,0,0,1,1513,1583,70,,,518.49,,-48.99,,,469.5,8,2014-08-20
H007 2014 Agosto,7,2014,Agosto,9185550,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1,0,0,0,1,1493,1644,151,,,1154.58,,-109.11,,,1045.47,8,2014-08-20
H008 2014 Agosto,8,2014,Agosto,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1,0,0,0,1,4842,5213,371,,,2882.22,,-272.37,,,2609.85,8,2014-08-20
H009 2014 Agosto,9,2014,Agosto,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1,0,0,0,1,903,952,49,,,353.58,,-33.42,,,320.16,8,2014-08-20
H010 2014 Agosto,10,2014,Agosto,2297132,,,H010,CASAN,Florianópolis,ETUSC,1,0,0,0,1,1516,1571,55,,,400.7,,-37.86,,,362.84,8,2014-08-20
