CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2013 Dezembro,1,2013,Dezembro,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1,0,0,0,1,2442,2472,30,,,190.74,,-18.03,,,172.71,12,2013-12-20
H002 2013 Dezembro,2,2013,Dezembro,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2,0,0,0,2,2691,2719,28,,,146.95,,-13.89,,,133.06,12,2013-12-20
H003 2013 Dezembro,3,2013,Dezembro,2297124,2013-12-19,,H003,CASAN,Florianópolis,Biotério Central,1,0,0,0,1,1296,1677,381,Lido,,2763.18,,-261.12,,,2502.06,12,2013-12-20
H004 2013 Dezembro,4,2013,Dezembro,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1,0,0,0,1,632,647,15,,,80.8,,-7.64,,,73.16,12,2013-12-20
H005 2013 Dezembro,5,2013,Dezembro,2297078,2013-12-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1,0,0,0,1,939,1224,285,Lido,,2059.61,,-194.64,,,1864.97,12,2013-12-20
H006 2013 Dezembro,6,2013,Dezembro,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1,0,0,0,1,987,1086,99,Lido,,696.43,,-65.81,,,630.62,12,2013-12-20
H007 2013 Dezembro,7,2013,Dezembro,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1,0,0,0,1,1048,1125,77,Lido,,535.2,,-50.58,,,484.62,12,2013-12-20
H008 2013 Dezembro,8,2013,Dezembro,2297159,2013-12-19,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1,0,0,0,1,1746,2128,382,Lido,,2770.51,,-261.82,,,2508.69,12,2013-12-20
H009 2013 Dezembro,9,2013,Dezembro,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1,0,0,0,1,623,658,35,,,227.38,,-21.48,,,205.9,12,2013-12-20
H010 2013 Dezembro,10,2013,Dezembro,2297132,2013-12-19,C09B271050,H010,CASAN,Florianópolis,ETUSC,1,0,0,0,1,1330,1352,22,Lido,,132.11,,-12.48,,,119.63,12,2013-12-20
