CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,160.0,166.0,6.0,MÉDIO,CONSUMO MÉDIO BAIXO,56.94,0.0,-5.38,0.0,0.0,51.56,12,2021-12-20
H002 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,759.0,819.0,60.0,MÉDIO,CONSUMO MÉDIO ELEVADO,649.08,0.0,-61.34,0.0,0.0,587.74,12,2021-12-20
H003 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,24333.0,24470.0,137.0,MÉDIO,CONSUMO MÉDIO ELEVADO,1660.97,0.0,-156.97,0.0,0.0,1504.0,12,2021-12-20
H004 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,136.0,171.0,35.0,MÉDIO,CONSUMO MÉDIO ELEVADO,386.99,0.0,-36.58,0.0,0.0,350.41,12,2021-12-20
H005 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,843.0,979.0,136.0,LIDO,ALTO CONSUMO,1648.48,0.0,-155.78,0.0,0.0,1492.7,12,2021-12-20
H006 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,LIDO,HIDRÔMETRO PARADO,30.24,0.0,-2.86,0.0,0.0,27.38,12,2021-12-20
H007 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,3906.0,3925.0,19.0,LIDO/REVISÃO,CONFIRMAÇÃO DE LEITURA,187.15,0.0,-17.68,0.0,0.0,169.47,12,2021-12-20
H008 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,39742.0,40720.0,978.0,LIDO/REVISÃO,ALTO CONSUMO,12165.06,0.0,-1149.59,0.0,0.0,11015.47,12,2021-12-20
H009 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,86.0,89.0,3.0,LIDO,OK,43.59,0.0,-4.12,0.0,0.0,39.47,12,2021-12-20
H010 2021 Dezembro,Medidor faturado pela UFSC,2021.0,Dezembro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1736.0,1745.0,9.0,LIDO,OK,70.29,0.0,-6.64,0.0,0.0,63.65,12,2021-12-20
