CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2014 Abril,1,2014,Abril,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1,0,0,0,1,2523,2546,23,,,139.43,,-13.17,,,126.26,4,2014-04-20
H002 2014 Abril,2,2014,Abril,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2,0,0,0,2,2785,2794,20,,,88.32,,-8.34,,,79.98,4,2014-04-20
H003 2014 Abril,3,2014,Abril,2297124,2014-04-17,F11C000559,H003,CASAN,Florianópolis,Biotério Central,1,0,0,0,1,2839,3159,320,Lido,,2316.12,,-218.86,,,2097.26,4,2014-04-20
H004 2014 Abril,4,2014,Abril,2297086,2014-04-17,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1,0,0,0,1,725,761,36,Lido,,234.71,,-22.19,,,212.52,4,2014-04-20
H005 2014 Abril,5,2014,Abril,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1,0,0,0,1,1556,1728,172,,,1231.44,,-116.36,,,1115.08,4,2014-04-20
H006 2014 Abril,6,2014,Abril,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1,0,0,0,1,1257,1323,66,,,454.58,,-42.96,,,411.62,4,2014-04-20
H007 2014 Abril,7,2014,Abril,9185550,2014-04-17,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1,0,0,0,1,1335,1382,47,Lido,,315.33,,-29.8,,,285.53,4,2014-04-20
H008 2014 Abril,8,2014,Abril,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1,0,0,0,1,3167,3608,441,,,3202.91,,-302.68,,,2900.23,4,2014-04-20
H009 2014 Abril,9,2014,Abril,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1,0,0,0,1,748,785,37,,,242.04,,-22.87,,,219.17,4,2014-04-20
H010 2014 Abril,10,2014,Abril,2297132,,,H010,CASAN,Florianópolis,ETUSC,1,0,0,0,1,1434,1460,26,,,161.42,,-15.25,,,146.17,4,2014-04-20
H011 2014 Abril,11,2014,Abril,8149615,2014-04-17,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1,0,0,0,1,2685,3408,723,Lido,,5269.67,,-497.98,,,4771.69,4,2014-04-20
H014 2014 Abril,12,2014,Abril,2296969,2014-04-17,J13AA30050,H014,CASAN,Florianópolis,Hospital Universitário,51,0,6,1,58,505902,8920,8968,Informado,,65222.62,65222.62,-12327.07,,,118118.17,4,2014-04-20
H015 2014 Abril,13,2014,Abril,2296918,2014-04-16,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,0,1,0,0,1,1852,2082,230,Médio,,1963.97,1963.97,-371.19,,,3556.75,4,2014-04-20
H017 2014 Abril,14,2014,Abril,2296950,2014-04-17,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1,0,0,0,1,3910,4428,518,Lido,,3767.24,3767.24,-712.0,,,6822.48,4,2014-04-20
H018 2014 Abril,15,2014,Abril,2296640,2014-04-16,A10C017754,H018,CASAN,Florianópolis,DAE,1,0,0,0,1,748,765,17,Lido,,95.46,95.46,-18.04,,,172.88,4,2014-04-20
H019 2014 Abril,16,2014,Abril,9097821,2014-04-16,B10C013879,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1,0,1,0,2,1916,2257,341,Lido,,2668.68,2668.68,-504.37,,,4832.99,4,2014-04-20
H020 2014 Abril,17,2014,Abril,2296829,2014-04-16,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1,0,0,0,1,6475,7068,593,Lido,,4316.91,4316.91,-815.89,,,7817.93,4,2014-04-20
H021 2014 Abril,18,2014,Abril,2296632,2014-04-16,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2,0,0,0,2,754,781,27,Lido,,139.62,139.62,-26.39,,,252.85,4,2014-04-20
H023 2014 Abril,19,2014,Abril,2296934,2014-04-16,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2,0,1,0,3,2215,2573,358,Lido,,2667.41,2667.41,-504.14,,,4830.68,4,2014-04-20
H024 2014 Abril,20,2014,Abril,2296926,2014-04-16,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1,0,1,0,2,152,155,20,Mínimo,,88.32,88.32,-16.7,,,159.94,4,2014-04-20
H025 2014 Abril,21,2014,Abril,2296900,2014-04-16,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1,0,0,0,1,3684,4364,680,Lido,,4954.52,4954.52,-936.4,,,8972.64,4,2014-04-20
H026 2014 Abril,22,2014,Abril,9912770,2014-04-16,B10C015985,H026,CASAN,Florianópolis,CFM Bloco B,1,0,0,0,1,210,262,52,Lido,,351.97,351.97,-66.53,,,637.41,4,2014-04-20
H027 2014 Abril,23,2014,Abril,2296888,2014-04-17,C11C000341,H027,CASAN,Florianópolis,Colégio Aplicação,1,0,1,0,2,1933,2163,230,Médio,,1750.25,1750.25,-330.8,,,3169.7,4,2014-04-20
H028 2014 Abril,24,2014,Abril,6205615,2014-04-16,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1,0,0,0,1,7408,7408,10,Mínimo,,44.16,44.16,-8.34,,,79.98,4,2014-04-20
H029 2014 Abril,25,2014,Abril,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1,0,0,0,1,1888,1889,10,,,44.16,44.16,-8.34,,,79.98,4,2014-04-20
H030 2014 Abril,26,2014,Abril,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,0,0,0,0,0,9361,9874,513,,,2065.61,2065.61,-390.4,,,3740.82,4,2014-04-20
H032 2014 Abril,27,2014,Abril,2296659,2014-04-16,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1,0,0,0,1,12922,13004,82,Lido,,571.84,571.84,-108.08,,,1035.6,4,2014-04-20
H033 2014 Abril,28,2014,Abril,2296667,2014-04-16,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1,0,1,0,2,1327,1527,200,Lido,,1502.04,1502.04,-283.89,,,2720.19,4,2014-04-20
H034 2014 Abril,29,2014,Abril,8416621,2014-04-16,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1,0,0,0,1,5776,5930,154,Lido,,1099.52,1099.52,-207.8,,,1991.24,4,2014-04-20
H035 2014 Abril,30,2014,Abril,2296845,2014-04-16,A91T139268,H035,CASAN,Florianópolis,CTC 2 - INEP,1,0,0,0,1,2492,2500,72,Informado,,498.55,498.55,-94.22,,,902.88,4,2014-04-20
H037 2014 Abril,31,2014,Abril,6435548,2014-04-16,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1,0,0,1,2,685,56,115,Lido,,784.56,784.56,-148.28,,,1420.84,4,2014-04-20
H038 2014 Abril,32,2014,Abril,2296683,2014-04-16,C11C005093,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1,0,0,0,1,1427,1603,176,Lido,,1260.76,1260.76,-238.29,,,2283.23,4,2014-04-20
H040 2014 Abril,33,2014,Abril,2296691,2014-04-16,C11C000642,H040,CASAN,Florianópolis,Reitoria I,1,0,0,0,1,2659,2900,241,Lido,,1737.13,1737.13,-328.31,,,3145.95,4,2014-04-20
H041 2014 Abril,34,2014,Abril,2296810,2014-04-16,C11C000641,H041,CASAN,Florianópolis,CCE 1 - Básico,1,0,1,0,2,1442,1704,262,Lido,,2015.03,2015.03,-380.84,,,3649.22,4,2014-04-20
H042 2014 Abril,35,2014,Abril,2296802,2014-04-16,C11C007092,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1,0,0,0,1,7443,7959,516,Lido,,3752.58,3752.58,-709.23,,,6795.93,4,2014-04-20
H043 2014 Abril,36,2014,Abril,6816860,2014-04-16,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1,0,0,0,1,565,572,10,Mínimo,,44.16,44.16,-8.34,,,79.98,4,2014-04-20
H044 2014 Abril,37,2014,Abril,2296896,2014-04-16,C11C001100,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,1,0,0,0,1,5613,5890,277,Lido,,2000.98,2000.98,-378.18,,,3623.78,4,2014-04-20
H045 2014 Abril,38,2014,Abril,2296772,2014-04-16,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,1,0,0,0,1,321,333,12,Lido,,58.82,58.82,-11.12,,,106.52,4,2014-04-20
