CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2016 Abril,1,2016,Abril,2297094,2016-04-20,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,3200,3229,29,29,Lido,,219.99,,-20.79,,,199.2,199.2,0
H002 2016 Abril,2,2016,Abril,2297116,2016-04-20,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,3119,3133,14,20,Mínimo,,105.94,,-10.02,,,95.92,95.92,0
H003 2016 Abril,3,2016,Abril,2297124,2016-04-20,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,2921,3293,372,372,Lido,,3235.13,,-305.72,,,2929.41,2929.41,0
H004 2016 Abril,4,2016,Abril,2297086,2016-04-20,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,772,874,102,102,Lido,,861.7,,-81.43,,,780.27,780.27,0
H005 2016 Abril,5,2016,Abril,2297078,2016-04-20,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,5792,5975,183,183,Lido,,1573.73,,-148.72,,,1425.01,1425.01,0
H006 2016 Abril,6,2016,Abril,9185569,2016-04-20,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2547,2602,55,55,Lido,,448.54,,-42.4,,,406.14,406.14,0
H007 2016 Abril,7,2016,Abril,9185550,2016-04-20,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,2653,2653,0,10,Informado,,52.97,,-5.0,,,47.97,47.97,0
H008 2016 Abril,8,2016,Abril,2297159,2016-04-20,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,398,938,540,540,Lido,,4711.94,,-445.28,,,4266.66,4266.66,0
H009 2016 Abril,9,2016,Abril,2297140,2016-04-20,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1602,1639,37,37,Lido,,290.31,,-27.43,,,262.88,262.88,0
H010 2016 Abril,10,2016,Abril,2297132,2016-04-20,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,156,162,6,10,Mínimo,,52.97,,-5.0,,,47.97,47.97,0
H011 2016 Abril,11,2016,Abril,8149615,2016-04-20,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,937,1762,825,825,Informado,,7217.23,,-682.03,,,6535.2,6535.2,0
H014 2016 Abril,12,2016,Abril,2296969,2016-04-21,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,102356,114226,11870,11870,Informado,,104421.0,104421.0,,,,208842.0,208842.0,0
H015 2016 Abril,13,2016,Abril,2296918,2016-04-15,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,,,,1,594,761,167,167,Informado,,1433.08,1433.08,-270.85,,,2595.31,2595.31,0
H017 2016 Abril,14,2016,Abril,2296950,2016-04-20,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,5412,6494,1082,1082,Lido,,9476.39,9476.39,-1791.03,,,17161.75,17161.75,0
H018 2016 Abril,15,2016,Abril,2296640,2016-04-15,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,519,567,48,48,Médio,,387.01,387.01,-73.14,,,700.88,700.88,0
H019 2016 Abril,16,2016,Abril,9097821,2016-04-15,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,42,98,56,56,Informado,,422.4,422.4,-79.83,,,764.97,764.97,0
H020 2016 Abril,17,2016,Abril,2296829,2016-04-15,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,4264,4679,415,415,Informado,,3613.12,3613.12,-682.88,,,6543.36,6543.36,0
H021 2016 Abril,18,2016,Abril,2296632,2016-04-15,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,1140,1152,12,20,Mínimo,,105.94,105.94,-20.03,,,191.85,191.85,0
H023 2016 Abril,19,2016,Abril,2296934,2016-04-15,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,,,,1,8568,8708,140,140,Lido,,1195.74,1195.74,-225.98,,,2165.5,2165.5,0
H024 2016 Abril,20,2016,Abril,2296926,2016-04-15,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,178,179,1,20,Mínimo,,105.94,105.94,-20.03,,,191.85,191.85,0
H025 2016 Abril,21,2016,Abril,2296900,2016-04-15,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,1558,2018,460,460,Lido,,4008.69,4008.69,-757.63,,,7259.75,7259.75,0
H026 2016 Abril,22,2016,Abril,9912770,2016-04-15,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,1318,1368,50,50,Lido,,404.59,404.59,-76.47,,,732.71,732.71,0
H027 2016 Abril,23,2016,Abril,2296888,2016-04-15,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,4557,4957,400,400,Médio,,3481.27,3481.27,-657.97,,,6304.57,6304.57,0
H028 2016 Abril,24,2016,Abril,6205615,2016-04-15,B10C017964,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,2,12,10,10,Médio,,52.97,52.97,-10.02,,,95.92,95.92,0
H029 2016 Abril,25,2016,Abril,7297220,2016-04-15,A08X051927,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1954,1955,1,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H030 2016 Abril,26,2016,Abril,2296276,2016-04-15,E11C000101,H030,CASAN,Florianópolis,Moradia Estudantil,,30.0,,,30,4171,5615,1444,1444,Informado,,10440.58,10440.58,-1973.27,,,18907.89,18907.89,0
H032 2016 Abril,27,2016,Abril,2296659,2016-04-15,C11C001886,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,1365,1631,266,266,Lido,,2303.34,2303.34,-435.33,,,4171.35,4171.35,0
H033 2016 Abril,28,2016,Abril,2296667,2016-04-15,B10C014063,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,913,1187,274,274,Lido,,2535.99,2535.99,-479.31,,,4592.67,4592.67,0
H034 2016 Abril,29,2016,Abril,8416621,2016-04-15,B10C014069,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,1032,1236,204,204,Lido,,1758.33,1758.33,-332.33,,,3184.33,3184.33,0
H035 2016 Abril,30,2016,Abril,2296845,2016-04-15,B10C022164,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,681,704,23,23,Lido,,167.25,167.25,-31.62,,,302.88,302.88,0
H037 2016 Abril,31,2016,Abril,6435548,2016-04-15,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2,2554,2694,140,140,Lido,,1160.8,1160.8,-219.4,,,2102.2,2102.2,0
H038 2016 Abril,32,2016,Abril,2296683,2016-04-15,B10C014806,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1.0,,,,1,1163,1381,218,218,Lido,,1881.39,1881.39,-355.58,,,3407.2,3407.2,0
H040 2016 Abril,33,2016,Abril,2296691,2016-04-15,C11C000642,H040,CASAN,Florianópolis,Reitoria I,1.0,,,,1,11358,11636,278,278,Lido,,2408.82,2408.82,-455.27,,,4362.37,4362.37,0
H041 2016 Abril,34,2016,Abril,2296810,2016-04-15,C11C010608,H041,CASAN,Florianópolis,CCE 1 - Básico,1.0,,1.0,,2,4691,4936,245,245,Lido,,2248.19,2248.19,-424.91,,,4071.47,4071.47,0
H042 2016 Abril,35,2016,Abril,2296802,2016-04-15,C11C001909,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1.0,,,,1,2377,2708,331,331,Médio,,2874.72,2874.72,-543.31,,,5206.13,5206.13,0
H043 2016 Abril,36,2016,Abril,6816860,2016-04-15,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1.0,,,,1,687,692,5,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H044 2016 Abril,37,2016,Abril,2296896,2016-04-15,C11C001908,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,1.0,,,,1,630,720,90,90,Lido,,756.21,756.21,-142.92,,,1369.5,1369.5,0
H045 2016 Abril,38,2016,Abril,2296772,2016-04-15,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,1.0,,,,1,661,668,7,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H046 2016 Abril,39,2016,Abril,2296780,2016-04-15,B10C017966,H046,CASAN,Florianópolis,Horto Botânico,1.0,,,,1,95,163,68,68,Lido,,562.82,562.82,-106.38,,,1019.26,1019.26,0
