CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H047 2016 Abril,40,2016,Abril,2296837,2016-04-15,C11C009598,H047,CASAN,Florianópolis,Creche UFSC,1.0,,,,1,12767,13958,1191,1191,Informado,,10434.55,10434.55,-1972.13,,,18896.97,18896.97,0
H048 2016 Abril,41,2016,Abril,2296764,2016-04-15,C11C001910,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,1.0,,,,1,2066,2399,333,333,Lido,,2892.3,2892.3,-546.65,,,5237.95,5237.95,0
H049 2016 Abril,42,2016,Abril,9197478,2016-04-15,B10C019220,H049,CASAN,Florianópolis,Centro de Educação 1,1.0,,,,1,252,452,200,200,Lido,,1723.17,1723.17,-325.67,,,3120.67,3120.67,0
H050 2016 Abril,43,2016,Abril,2296748,2016-04-15,A13C020929,H050,CASAN,Florianópolis,Centro de Educação 2,1.0,,,,1,1684,1840,156,156,Lido,,1336.38,1336.38,-252.57,,,2420.19,2420.19,0
H051 2016 Abril,44,2016,Abril,2296756,2016-04-15,A13C043944,H051,CASAN,Florianópolis,Centro de Convivência,1.0,,5.0,,6,347,353,6,60,Informado,,317.82,317.82,-60.07,,,575.57,575.57,0
H053 2016 Abril,45,2016,Abril,2296713,2016-04-15,C11C010440,H053,CASAN,Florianópolis,Centro de Eventos,1.0,,,,1,14574,15944,1370,1370,Lido,,12008.05,12008.05,-2269.51,,,21746.59,21746.59,0
H054 2016 Abril,46,2016,Abril,6923020,2016-04-15,B10C002843,H054,CASAN,Florianópolis,Arquitetura e Urbanismo,1.0,,,,1,10615,10955,340,340,Lido,,2953.83,2953.83,-558.28,,,5349.38,5349.38,0
H055 2016 Abril,47,2016,Abril,2296705,2016-04-15,G15AA00021,H055,CASAN,Florianópolis,Centro de Desportos,1.0,,1.0,,2,33759,36430,2671,2671,Informado,,26324.3,,-2487.65,,,23836.65,23836.65,0
H056 2016 Abril,48,2016,Abril,2296721,2016-04-15,E11C000742,H056,CASAN,Florianópolis,Restaurante Universitário 2,1.0,,1.0,,2,3388,3910,522,522,Lido,,4997.2,4997.2,-944.46,,,9049.94,9049.94,0
H057 2016 Abril,49,2016,Abril,2297108,2016-04-20,A95L322012,H057,CASAN,Florianópolis,Setor da Hidráulica,1.0,,,,1,2423,2454,31,31,Lido,,237.57,,-22.45,,,215.12,215.12,0
H058 2016 Abril,50,2016,Abril,9611070,2016-04-20,C11C005856,H058,CASAN,Florianópolis,CCB MIP 2,1.0,,,,1,16841,17887,1046,1046,Informado,,9159.93,9159.93,-1731.23,,,16588.63,16588.63,0
H059 2016 Abril,51,2016,Abril,2296675,2016-04-15,A13C020930,H059,CASAN,Florianópolis,CTC 3,1.0,,,,1,441,476,35,35,Lido,,272.73,272.73,-51.54,,,493.92,493.92,0
H060 2016 Abril,52,2016,Abril,5329663,2016-04-11,A13C021299,H060,CASAN,Florianópolis,Reitoria II,1.0,,,,1,1314,1383,69,69,Lido,,571.61,571.61,-108.03,,,1035.19,1035.19,0
H061 2016 Abril,53,2016,Abril,2296870,2016-04-15,B10C013871,H061,CASAN,Florianópolis,CCB Anatômico,1.0,,1.0,,2,7627,7678,51,51,Informado,,378.44,378.44,-71.53,,,685.35,685.35,0
H062 2016 Abril,54,2016,Abril,15023672,2016-04-15,C11C010415,H062,CASAN,Florianópolis,CFM - Bloco EFI - R. Eng. Agr. Andrey C. Ferreira,1.0,,,,1,2650,3067,417,417,Lido,,3630.7,,-343.1,,,3287.6,3287.6,0
H072 2016 Abril,55,2016,Abril,2297167,2016-04-22,B10C017343,H072,CASAN,Florianópolis,CCA 1,1.0,,,,1,1266,1696,430,430,Lido,,3744.98,,-353.9,,,3391.08,3391.08,0
H073 2016 Abril,56,2016,Abril,2297175,2016-04-22,A05S578217,H073,CASAN,Florianópolis,Estação Experimental de Aquicultura,1.0,,,,1,7251,7352,101,101,Lido,,852.91,,-80.6,,,772.31,772.31,0
H074 2016 Abril,57,2016,Abril,2297183,2016-04-22,C11C010252,H074,CASAN,Florianópolis,CCA 2,1.0,,,,1,778,2060,1282,1282,Lido,,11234.49,,-1061.65,,,10172.84,10172.84,0
H076 2016 Abril,58,2016,Abril,2297361,2016-04-13,A10C001421,H076,CASAN,Florianópolis,"Cidade das Abelhas - Rod. Virgílio Várzea, 2600",1.0,,,,1,1202,1209,7,10,Mínimo,,52.97,,-5.0,,,47.97,47.97,0
H081 2016 Abril,59,2016,Abril,2295652,2016-04-20,A13C040670,H081,CASAN,Florianópolis,UFSC do MEC,1.0,,,,1,1630,1708,78,78,Lido,,650.72,650.72,-122.98,,,1178.46,1178.46,0
H082 2016 Abril,60,2016,Abril,5716594,2016-04-15,C11C010040,H082,CASAN,Florianópolis,CCA - Tapera,1.0,,,,1,2883,3431,548,548,Médio,,4782.26,,-451.92,,,4330.34,4330.34,0
H083 2016 Abril,61,2016,Abril,6997937,2016-04-20,Y11C071117,H083,CASAN,Florianópolis,Casa da Arte,,,1.0,,1,605,607,2,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H084 2016 Abril,62,2016,Abril,9197419,2016-04-19,B11C024230,H084,CASAN,Florianópolis,"Centro de Pesquisa - Bc dos Coroas, SN",1.0,,,,1,6170,6387,217,217,Médio,,1872.6,1872.6,-353.92,,,3391.28,3391.28,0
H085 2016 Abril,63,2016,Abril,12791172,2016-04-12,Y11C048501,H085,CASAN,Florianópolis,Fortaleza de São José da Ponta Grossa,1.0,,,,1,298,303,5,10,Mínimo,,52.97,,-5.0,,,47.97,47.97,0
H086 2016 Abril,64,2016,Abril,12799408,2016-04-12,Y11C056745,H086,CASAN,Florianópolis,UFSC - Jurerê,1.0,,,,1,99,108,9,10,Mínimo,,52.97,,-5.0,,,47.97,47.97,0
H087 2016 Abril,65,2016,Abril,13018540,2016-04-15,A06S080329,H087,CASAN,Florianópolis,UFSC-Sambaqui,1.0,,,,1,4897,4924,27,27,Lido,,202.41,,-19.13,,,183.28,183.28,0
H088 2016 Abril,66,2016,Abril,2294605,2016-04-20,Y11C073654,H088,CASAN,Florianópolis,Casa Vida e Saúde,1.0,,,,1,41,41,0,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H089 2016 Abril,67,2016,Abril,2347660,2016-04-19,B10C016433,H089,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, 502",1.0,,,,1,10966,11167,201,201,Médio,,1731.96,1731.96,-327.35,,,3136.57,3136.57,0
H090 2016 Abril,68,2016,Abril,2347679,2016-04-19,A15C030480,H090,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, SN",1.0,,,,1,2,12,10,10,Médio,,52.97,52.97,-10.02,,,95.92,95.92,0
H100 2016 Abril,69,2016,Abril,2134608,2016-04-18,C13S011801,H100,ÁGUAS DE JOINVILLE,Joinville,R. Pres. Prud. De Moraes - Joinville,1.0,,,,1,1832,1942,110,110,Lido,,769.04,615.23,-130.81,,,1253.46,1253.46,0
H101 2016 Abril,70,2016,Abril,2141582,2016-04-18,Y10S819731,H101,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 108 - Joinville",1.0,,,,1,135,139,4,10,Mínimo,,46.04,,-4.35,,,41.69,41.69,0
H102 2016 Abril,71,2016,Abril,2278022,2016-04-18,A150001495,H102,ÁGUAS DE JOINVILLE,Joinville,R. João Colin (1) - Joinville,1.0,,,,1,498,631,133,133,Lido,,935.33,748.26,-159.1,,,1524.49,1524.49,0
H104 2016 Abril,72,2016,Abril,7876009,2016-04-18,Y11G512276,H104,ÁGUAS DE JOINVILLE,Joinville,"R. João Vogelsanger, 200 - Joinville",1.0,,,,1,768,791,23,23,Lido,,140.03,,-13.23,,,126.8,126.8,0
H105 2016 Abril,73,2016,Abril,8686432,2016-04-18,Y10S819735,H105,ÁGUAS DE JOINVILLE,Joinville,R. João Colin (2) - Joinville,1.0,,,,1,126,127,1,10,Mínimo,,46.04,36.83,-7.84,,,75.03,75.03,0
H106 2016 Abril,74,2016,Abril,14948508,2016-04-19,B11C061116,H106,CASAN,Araquari,Barra do Itapocu - Baln. Barra do Sul,1.0,,,,1,889,903,14,14,Lido,,88.13,,-10.67,,24.86,102.32,102.32,0
H200 2016 Abril,75,2016,Abril,15431797,2016-04-18,Y13F424343,H200,CASAN,Curitibanos,Curitibanos CEDUP,1.0,,,,1,1662,1839,177,177,Lido,,1520.98,,-143.74,,,1377.24,1377.24,0
H300 2016 Abril,76,2016,Abril,196916,2016-04-26,X08S002632,H300,SAMAE Araranguá,Araranguá,Mato Alto,1.0,,,,1,6396,6504,108,108,Lido,,1052.34,,,,,1052.34,1052.34,0
H400 2016 Abril,77,2016,Abril,89548,2016-04-02,Y10N450699,H400,SAMAE Blumenau,Blumenau,"R. Pomerode, 710 - Blumenau",1.0,,,,1,1324,1423,99,99,Informado,,491.64,,,50.21,,541.85,541.85,0
H401 2016 Abril,78,2016,Abril,38988,2016-04-13,A12S141289,H401,SAMAE Blumenau,Blumenau,"R. João Pessoa, 2750 - Blumenau",1.0,,,,1,999,1064,65,65,Informado,,496.31,666.35,-68.18,101.67,146.93,1343.08,1343.08,0
