CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2016 Novembro,1.0,2016.0,Novembro,2297094.0,2016-11-18,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,0.0,0.0,0.0,1.0,3464.0,1.0,39.0,Informado,,341.18,,-32.79,,5.75,314.14,11,2016-11-20
H002 2016 Novembro,2.0,2016.0,Novembro,2297116.0,2016-11-18,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,0.0,0.0,0.0,2.0,3217.0,3232.0,20.0,Mínimo,,117.4,,-11.34,,2.69,108.75,11,2016-11-20
H003 2016 Novembro,3.0,2016.0,Novembro,2297124.0,2016-11-18,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,0.0,0.0,0.0,1.0,5204.0,5483.0,279.0,Lido,,2678.98,,-258.46,,56.1,2476.62,11,2016-11-20
H004 2016 Novembro,4.0,2016.0,Novembro,2297086.0,2016-11-18,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,0.0,0.0,0.0,1.0,1355.0,1460.0,105.0,Lido,,984.08,,-94.04,,11.03,901.07,11,2016-11-20
H005 2016 Novembro,5.0,2016.0,Novembro,2297078.0,2016-11-18,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,0.0,0.0,0.0,1.0,7372.0,7547.0,175.0,Lido,,1665.93,,-161.15,,39.39,1544.17,11,2016-11-20
H006 2016 Novembro,6.0,2016.0,Novembro,9185569.0,2016-11-18,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,0.0,0.0,0.0,1.0,2860.0,2860.0,10.0,Informado,,58.7,,-5.82,,2.83,55.71,11,2016-11-20
H007 2016 Novembro,7.0,2016.0,Novembro,9185550.0,2016-11-18,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,0.0,0.0,0.0,1.0,3332.0,3424.0,92.0,Lido,,857.45,,-82.56,,16.1,790.99,11,2016-11-20
H008 2016 Novembro,8.0,2016.0,Novembro,2297159.0,2016-11-18,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,0.0,0.0,0.0,1.0,4359.0,5081.0,722.0,Lido,,6994.15,,-671.35,,110.11,6432.91,11,2016-11-20
H009 2016 Novembro,9.0,2016.0,Novembro,2297140.0,2016-11-18,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,0.0,0.0,0.0,1.0,1892.0,1926.0,34.0,Lido,,292.48,,-28.29,,6.82,271.01,11,2016-11-20
H010 2016 Novembro,10.0,2016.0,Novembro,2297132.0,2016-11-18,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,0.0,0.0,0.0,1.0,192.0,199.0,10.0,Mínimo,,58.7,,-5.65,,1.08,54.13,11,2016-11-20
H011 2016 Novembro,11.0,2016.0,Novembro,8149615.0,2016-11-18,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1.0,0.0,0.0,0.0,1.0,6323.0,7066.0,743.0,Lido,,7198.71,,-693.07,,135.45,6641.09,11,2016-11-20
H014 2016 Novembro,12.0,2016.0,Novembro,2296969.0,2016-11-30,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51.0,0.0,6.0,1.0,58.0,192188.0,204299.0,12111.0,Lido,,118119.73,118119.73,,,,236239.46,11,2016-11-20
H015 2016 Novembro,13.0,2016.0,Novembro,2296918.0,2016-11-18,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,0.0,0.0,0.0,1.0,899.0,926.0,27.0,Lido,,224.29,224.29,-42.92,,5.69,411.35,11,2016-11-20
H017 2016 Novembro,14.0,2016.0,Novembro,2296950.0,2016-11-18,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,0.0,0.0,0.0,1.0,10933.0,11605.0,672.0,Lido,,6507.11,6507.11,-1258.82,,306.6,12062.0,11,2016-11-20
H018 2016 Novembro,15.0,2016.0,Novembro,2296640.0,2016-11-18,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,0.0,0.0,0.0,1.0,819.0,848.0,29.0,Lido,,243.78,243.78,-47.26,,12.56,452.86,11,2016-11-20
H019 2016 Novembro,16.0,2016.0,Novembro,9097821.0,2016-11-18,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,0.0,1.0,0.0,2.0,456.0,508.0,52.0,Lido,,429.1,429.1,-82.69,,16.89,792.4,11,2016-11-20
H020 2016 Novembro,17.0,2016.0,Novembro,2296829.0,2016-11-18,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,0.0,0.0,0.0,1.0,8974.0,10657.0,1683.0,Informado,,16355.06,16355.06,-3124.71,,355.49,29940.9,11,2016-11-20
H021 2016 Novembro,18.0,2016.0,Novembro,2296632.0,2016-11-18,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,0.0,0.0,0.0,2.0,1826.0,1958.0,132.0,Médio,,1208.37,1208.37,-233.43,,53.37,2236.68,11,2016-11-20
H023 2016 Novembro,19.0,2016.0,Novembro,2296934.0,2016-11-18,B10C010114,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,0.0,0.0,0.0,1.0,210.0,474.0,264.0,Lido,,2532.86,2532.86,-487.72,,95.36,4673.36,11,2016-11-20
H024 2016 Novembro,20.0,2016.0,Novembro,2296926.0,2016-11-18,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,0.0,1.0,0.0,2.0,198.0,199.0,20.0,Mínimo,,117.4,117.4,-22.59,,4.32,216.53,11,2016-11-20
