CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,566.0,588.0,22.0,LIDO,0,224.62,0.0,-21.23,0.0,0.0,203.39,5,2022-05-20
H002 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,1708.0,1750.0,42.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,424.26,0.0,-40.09,0.0,0.0,384.17,5,2022-05-20
H003 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,293.0,544.0,1192.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,14837.92,0.0,-1402.19,0.0,0.0,13435.73,5,2022-05-20
H004 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,404.0,424.0,20.0,LIDO,0,199.64,0.0,-18.87,0.0,0.0,180.77,5,2022-05-20
H005 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,1597.0,1734.0,137.0,LIDO,0,1660.97,0.0,-156.97,0.0,0.0,1504.0,5,2022-05-20
H006 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,13.0,14.0,1.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,34.69,0.0,-3.29,0.0,0.0,31.4,5,2022-05-20
H007 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,4012.0,4106.0,94.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,1123.9,0.0,-106.22,0.0,0.0,1017.68,5,2022-05-20
H008 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,45073.0,45928.0,855.0,LIDO,0,10628.79,0.0,-1004.42,0.0,0.0,9624.37,5,2022-05-20
H009 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,101.0,106.0,5.0,LIDO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,52.49,0.0,-4.95,0.0,0.0,47.54,5,2022-05-20
H010 2022 Maio,Medidor faturado pela UFSC,2022.0,Maio,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1787.0,1817.0,30.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,324.54,0.0,-30.68,0.0,0.0,293.86,5,2022-05-20
