CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Janeiro,1,2013,Janeiro,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2051,2065,14,14,,,68.78,,-6.96,,4.85,66.67,66.67,0
H002 2013 Janeiro,2,2013,Janeiro,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2466,2475,9,20,,,82.68,,-7.96,,1.5,76.22,76.22,0
H003 2013 Janeiro,3,2013,Janeiro,2297124,2013-01-18,448,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,25983,27186,1203,1203,Lido,,8226.51,,-790.3,,136.43,7572.64,7572.64,0
H004 2013 Janeiro,4,2013,Janeiro,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,427,436,9,10,,,41.34,,-4.04,,1.37,38.67,38.67,0
H005 2013 Janeiro,5,2013,Janeiro,2297078,,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,3908,4617,709,709,,,4837.18,,-462.64,,58.53,4433.07,4433.07,0
H006 2013 Janeiro,6,2013,Janeiro,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,193,242,49,49,,,308.92,,-30.12,,9.82,288.62,288.62,0
H007 2013 Janeiro,7,2013,Janeiro,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,216,275,59,59,,,377.53,,-36.95,,13.42,354.0,354.0,0
H008 2013 Janeiro,8,2013,Janeiro,2297159,,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,7653,8173,520,520,,,3540.45,,-345.96,,120.4,3314.89,3314.89,0
H009 2013 Janeiro,9,2013,Janeiro,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,170,188,18,18,,,96.23,,-9.47,,3.98,90.74,90.74,0
H010 2013 Janeiro,10,2013,Janeiro,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1070,1092,22,22,,,123.67,,-11.98,,3.11,114.8,114.8,0
H011 2013 Janeiro,11,2013,Janeiro,8149615,,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,9048,9723,675,675,,,4603.91,,-438.61,,37.53,4202.83,4202.83,0
H014 2013 Janeiro,12,2013,Janeiro,2296969,2013-01-18,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,353658,369235,15577,15577,Lido,,107612.82,107612.82,-20657.86,,3375.98,197943.76,197943.76,0
H015 2013 Janeiro,13,2013,Janeiro,2296918,2013-01-18,A95S021949,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,5265,5520,255,255,Médio,,2054.34,2054.34,-396.04,,82.22,3794.86,3794.86,0
H017 2013 Janeiro,14,2013,Janeiro,2296950,,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,1.0,,2,24712,25570,858,858,,,6502.88,6502.88,-1254.33,,267.52,12018.95,12018.95,0
H018 2013 Janeiro,15,2013,Janeiro,2296640,2013-01-18,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,464,499,35,35,Lido,,212.87,212.87,-40.63,,4.23,389.34,389.34,0
H019 2013 Janeiro,16,2013,Janeiro,9097821,2013-01-18,793193,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,1644,1711,67,67,Lido,,405.14,405.14,-78.36,,18.9,750.82,750.82,0
H020 2013 Janeiro,17,2013,Janeiro,2296829,2013-01-18,C09B271060,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,15931,16193,262,262,Lido,,1770.31,1770.31,-356.96,,236.83,3420.49,3420.49,0
H021 2013 Janeiro,18,2013,Janeiro,2296632,2013-01-18,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,574,575,1,20,Mínimo,,82.68,82.68,-15.9,,2.99,152.45,152.45,0
H023 2013 Janeiro,19,2013,Janeiro,2296934,2013-01-18,A93S053431,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,1398,1612,214,214,Lido,,1424.2,1424.2,-276.7,,79.65,2651.35,2651.35,0
H024 2013 Janeiro,20,2013,Janeiro,2296926,2013-01-18,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,104,106,2,20,Mínimo,,82.68,82.68,-15.9,,2.99,152.45,152.45,0
H025 2013 Janeiro,21,2013,Janeiro,2296900,2013-01-18,D83S122687,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,3705,3788,83,83,Lido,,542.19,542.19,-110.75,,87.48,1061.11,1061.11,0
H026 2013 Janeiro,22,2013,Janeiro,9912770,2013-01-18,A11C032293,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,1284,1361,77,77,Lido,,501.03,501.03,-98.44,,39.52,943.14,943.14,0
H027 2013 Janeiro,23,2013,Janeiro,2296888,2013-01-18,654300,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,1.0,,2,4406,4806,400,400,Médio,,2955.3,2955.3,-570.52,,126.68,5466.76,5466.76,0
