CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2014 Outubro,1.0,2014.0,Outubro,2297094.0,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2686.0,2717.0,31.0,31.0,,,212.23,,-20.06,,,192.17,192.17,0.0
H002 2014 Outubro,2.0,2014.0,Outubro,2297116.0,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2855.0,2870.0,15.0,20.0,,,94.64,,-8.95,,,85.69,85.69,0.0
H003 2014 Outubro,3.0,2014.0,Outubro,2297124.0,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,4810.0,5216.0,406.0,406.0,,,3157.07,,-298.34,,,2858.73,2858.73,0.0
H004 2014 Outubro,4.0,2014.0,Outubro,2297086.0,2014-10-20,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1061.0,1132.0,71.0,71.0,Lido,,526.35,,-49.73,,,476.62,476.62,0.0
H005 2014 Outubro,5.0,2014.0,Outubro,2297078.0,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,2584.0,2767.0,183.0,183.0,,,1405.87,,-132.86,,,1273.01,1273.01,0.0
H006 2014 Outubro,6.0,2014.0,Outubro,9185569.0,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1666.0,1731.0,65.0,65.0,,,479.23,,-45.28,,,433.95,433.95,0.0
H007 2014 Outubro,7.0,2014.0,Outubro,9185550.0,,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1716.0,1779.0,63.0,63.0,,,463.52,,-43.81,,,419.71,419.71,0.0
H008 2014 Outubro,8.0,2014.0,Outubro,2297159.0,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,5748.0,6390.0,642.0,642.0,,,5010.35,,-473.48,,,4536.87,4536.87,0.0
H009 2014 Outubro,9.0,2014.0,Outubro,2297140.0,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,993.0,1040.0,47.0,47.0,,,337.88,,-31.94,,,305.94,305.94,0.0
H010 2014 Outubro,10.0,2014.0,Outubro,2297132.0,2014-10-20,,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1580.0,1607.0,27.0,27.0,Lido,,180.82,,-17.09,,,163.73,163.73,0.0
H011 2014 Outubro,11.0,2014.0,Outubro,8149615.0,2014-10-20,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,7055.0,8470.0,1415.0,1415.0,Lido,,11080.64,,-1047.12,,,10033.52,10033.52,0.0
H014 2014 Outubro,12.0,2014.0,Outubro,2296969.0,,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,69493.0,80624.0,11131.0,11131.0,,,87325.18,87325.18,-16504.46,,,158145.9,158145.9,0.0
H015 2014 Outubro,13.0,2014.0,Outubro,2296918.0,2014-10-16,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,3227.0,4640.0,1413.0,1413.0,Lido,,13790.54,13790.54,-2606.41,,,24974.67,24974.67,0.0
H017 2014 Outubro,14.0,2014.0,Outubro,2296950.0,2014-10-20,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,8553.0,9618.0,1065.0,1065.0,Lido,,8332.13,8332.13,-1574.77,,,15089.49,15089.49,0.0
H018 2014 Outubro,15.0,2014.0,Outubro,2296640.0,2014-10-16,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,870.0,885.0,15.0,15.0,Lido,,86.58,86.58,-16.36,,,156.8,156.8,0.0
H019 2014 Outubro,16.0,2014.0,Outubro,9097821.0,2014-10-16,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,2356.0,3149.0,793.0,793.0,Lido,,6866.77,6866.77,-1297.83,,,12435.71,12435.71,0.0
H020 2014 Outubro,17.0,2014.0,Outubro,2296829.0,2014-10-16,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,9588.0,10177.0,589.0,589.0,Lido,,4594.15,4594.15,-868.29,,,8320.01,8320.01,0.0
H021 2014 Outubro,18.0,2014.0,Outubro,2296632.0,2014-10-16,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,898.0,908.0,10.0,20.0,Mínimo,,94.64,94.64,-17.89,,,171.39,171.39,0.0
