CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297094.0,2018-04-19,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,1,0,0,0,1,570,608.0,38.0,Lido,,351.59,,-33.24,,,318.35,4,2018-04-20
H002 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297116.0,2018-04-19,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2,0,0,0,2,4617,4681.0,64.0,Lido,,579.19,,-54.73,,,524.46,4,2018-04-20
H003 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297124.0,2018-04-19,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1,0,0,0,1,11163,11571.0,408.0,Lido,,4174.8,,-394.52,,,3780.28,4,2018-04-20
H004 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297086.0,2018-04-19,B17C002619,H004,CASAN,Florianópolis,Almoxarifado Central,1,0,0,0,1,80,174.0,94.0,Lido,,930.24,,-87.91,,,842.33,4,2018-04-20
H005 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297078.0,2018-04-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1,0,0,0,1,13331,13854.0,523.0,Lido,,5363.1,,-506.81,,,4856.29,4,2018-04-20
H006 2018 Abril,Medidor faturado pela UFSC,2018,Abril,9185569.0,2018-04-19,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1,0,0,0,1,2865,2866.0,10.0,Mínimo,,62.27,,-5.88,,,56.39,4,2018-04-20
H007 2018 Abril,Medidor faturado pela UFSC,2018,Abril,9185550.0,2018-04-19,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1,0,0,0,1,4209,4210.0,10.0,Informado,,62.27,,-5.88,,,56.39,4,2018-04-20
H008 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297159.0,2018-04-19,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1,0,0,0,1,12885,13657.0,772.0,Lido,,7936.02,,-749.95,,,7186.07,4,2018-04-20
H009 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297140.0,2018-04-19,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1,0,0,0,1,2515,2521.0,10.0,Informado,,62.27,,-5.88,,,56.39,4,2018-04-20
H010 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2297132.0,2018-04-19,C11C010472,H010,CASAN,Florianópolis,ETUSC,1,0,0,0,1,662,714.0,52.0,Lido,,496.26,,-46.9,,,449.36,4,2018-04-20
H011 2018 Abril,Medidor faturado pela UFSC,2018,Abril,8149615.0,2018-04-19,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1,0,0,0,1,20616,21582.0,966.0,Lido,,9940.62,,-939.39,,,9001.23,4,2018-04-20
H014 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2296969.0,2018-04-24,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51,0,6,1,58,391392,403541.0,12149.0,Lido,,125704.19,125704.19,-23820.81,16932.87,,244520.44,4,2018-04-20
H015 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2296918.0,2018-04-18,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1,0,0,0,1,1445,1519.0,74.0,Lido,,723.58,723.58,-136.75,,,1310.41,4,2018-04-20
H017 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2296950.0,2018-04-19,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1,0,0,0,1,25274,26225.0,951.0,Lido,,9785.62,9785.62,-1849.48,,,17721.76,4,2018-04-20
H018 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2296640.0,2018-04-18,A13C043935,H018,CASAN,Florianópolis,DAE,1,0,0,0,1,1879,1932.0,53.0,Lido,,506.59,506.59,-95.75,,,917.43,4,2018-04-20
H019 2018 Abril,Medidor faturado pela UFSC,2018,Abril,9097821.0,2018-04-18,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1,0,1,0,2,2956,3087.0,131.0,Lido,,1312.81,1312.81,-248.13,,,2377.49,4,2018-04-20
H020 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2296829.0,2018-04-18,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1,0,0,0,1,21950,22668.0,718.0,Lido,,7378.03,7378.03,-1394.44,,,13361.62,4,2018-04-20
H021 2018 Abril,Medidor faturado pela UFSC,2018,Abril,2296632.0,2018-04-18,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2,0,0,0,2,2665,2711.0,46.0,Médio,,393.2,393.2,-74.31,,,712.09,4,2018-04-20
