CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1265.0,1016.0,29.0,Lido,0.0,269.95,0.0,-25.83,0.0,3.33,247.45,3,2019-03-20
H002 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,5834.0,5484.0,117.0,Lido,0.0,1176.31,0.0,-112.29,0.0,11.93,1075.95,3,2019-03-20
H003 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,17800.0,15294.0,445.0,Lido,0.0,4757.18,0.0,-457.09,0.0,79.71,4379.8,3,2019-03-20
H004 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2706.0,1552.0,49.0,Informado,0.0,485.68,0.0,-46.78,0.0,9.38,448.28,3,2019-03-20
H005 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,19716.0,18931.0,78.0,Informado,0.0,798.49,0.0,-76.93,0.0,15.63,737.19,3,2019-03-20
H006 2019 março,Medidor faturado pela UFSC,2019.0,Março,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,7.0,0.0,10.0,Mínimo,0.0,65.0,0.0,-6.26,0.0,1.18,59.92,3,2019-03-20
H007 2019 março,Medidor faturado pela UFSC,2019.0,Março,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,953.0,4214.0,10.0,Mínimo,0.0,65.0,0.0,-6.26,0.0,1.18,59.92,3,2019-03-20
H008 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,29687.0,22611.0,907.0,Lido,0.0,9740.58,0.0,-930.13,0.0,101.98,8912.43,3,2019-03-20
H009 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,36.0,2571.0,10.0,Mínimo,0.0,65.0,0.0,-6.26,0.0,1.18,59.92,3,2019-03-20
H010 2019 março,Medidor faturado pela UFSC,2019.0,Março,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1542.0,1206.0,36.0,Lido,0.0,345.46,0.0,-33.39,0.0,7.82,319.89,3,2019-03-20
