CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,13.0,57.0,44.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,487.01,0.0,-46.03,0.0,0.0,440.98,1,2021-01-20
H002 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,112.0,162.0,50.0,LIDO,OK,511.18,0.0,-48.31,0.0,0.0,462.87,1,2021-01-20
H003 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,22906.0,23122.0,216.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,2581.97,0.0,-243.99,0.0,0.0,2337.98,1,2021-01-20
H004 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,3453.0,3600.0,147.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,1741.55,0.0,-164.58,0.0,0.0,1576.97,1,2021-01-20
H005 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,54.0,141.0,87.0,LIDO/REVISÃO,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA. VERIFIQUE AS INSTALAÇÕES INTERNAS E EVITE DESPERDÍCIOS.,1010.75,0.0,-95.52,0.0,0.0,915.23,1,2021-01-20
H006 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,LIDO,HIDROMETRO PARADO,29.49,0.0,-2.78,0.0,0.0,26.71,1,2021-01-20
H007 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,2928.0,2972.0,44.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,487.01,0.0,-46.03,0.0,0.0,440.98,1,2021-01-20
H008 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,33919.0,34222.0,303.0,LIDO,0,3641.63,0.0,-344.14,0.0,0.0,3297.49,1,2021-01-20
H009 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,66.0,67.0,1.0,LIDO,0,33.83,0.0,-3.19,0.0,0.0,30.64,1,2021-01-20
H010 2021 Janeiro,Medidor faturado pela UFSC,2021.0,Janeiro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1700.0,1701.0,1.0,LIDO,0,33.83,0.0,-3.19,0.0,0.0,30.64,1,2021-01-20
