CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1333.0,1335.0,2.0,INFORMADO,CONFIRMACAO LEITURA,38.17,0.0,-3.61,0.0,0.0,34.56,4,2020-04-20
H002 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,6023.0,6050.0,27.0,LIDO,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,231.04,0.0,-21.83,0.0,0.0,209.21,4,2020-04-20
H003 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,19205.0,19442.0,237.0,LIDO,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,2837.75,0.0,-268.17,0.0,0.0,2569.58,4,2020-04-20
H004 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2820.0,2853.0,33.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",353.03,0.0,-33.36,0.0,0.0,319.67,4,2020-04-20
H005 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,19854.0,19907.0,53.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",596.63,0.0,-56.39,0.0,0.0,540.24,4,2020-04-20
H006 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,9.0,19.0,10.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",72.89,0.0,-6.89,0.0,0.0,66.0,4,2020-04-20
H007 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,1503.0,1667.0,164.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",1948.61,0.0,-184.15,0.0,0.0,1764.46,4,2020-04-20
H008 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,31856.0,31899.0,43.0,INFORMADO,CONFIRMACAO LEITURA,474.83,0.0,-44.87,0.0,0.0,429.96,4,2020-04-20
H009 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,51.0,51.0,0.0,LIDO,HIDRÔMETRO PARADO.,29.49,0.0,-2.78,0.0,0.0,26.71,4,2020-04-20
H010 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1689.0,1726.0,37.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",401.75,0.0,-37.96,0.0,0.0,363.79,4,2020-04-20
H011 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,8149615.0,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,35910.0,35912.0,2.0,INFORMADO,CONFIRMACAO LEITURA,38.17,0.0,-3.61,0.0,0.0,34.56,4,2020-04-20
H014 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,17859999.0,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51.0,0.0,6.0,1.0,58.0,652682.0,659819.0,7137.0,0,0,85468.16,85468.16,-16153.480000000001,0.0,0.0,154782.84,4,2020-04-20
H015 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296918.0,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1.0,0.0,0.0,0.0,1.0,185.0,210.0,25.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",255.59,255.59,-48.31,0.0,0.0,462.87,4,2020-04-20
H017 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296950.0,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1.0,0.0,0.0,0.0,1.0,6645.0,7043.0,398.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",4798.73,4798.73,-906.95,0.0,0.0,8690.51,4,2020-04-20
H018 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296640.0,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1.0,0.0,0.0,0.0,1.0,3028.0,3074.0,46.0,LIDO,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,511.37,511.37,-96.65,0.0,0.0,926.09,4,2020-04-20
H019 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,9097821.0,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1.0,0.0,1.0,0.0,2.0,5753.0,5759.0,6.0,INFORMADO,CONFIRMACAO LEITURA,85.02,85.02,-16.07,0.0,0.0,153.97,4,2020-04-20
H020 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296829.0,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1.0,0.0,0.0,0.0,1.0,9657.0,9665.0,8.0,INFORMADO,CONFIRMACAO LEITURA,64.21,64.21,-12.12,0.0,0.0,116.3,4,2020-04-20
H021 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296632.0,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2.0,0.0,0.0,0.0,2.0,5031.0,5176.0,145.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",1668.28,1668.28,-315.31,0.0,0.0,3021.25,4,2020-04-20
H023 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296934.0,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1.0,0.0,0.0,0.0,1.0,10629.0,10797.0,168.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",1997.33,1997.33,-377.5,0.0,0.0,3617.16,4,2020-04-20
H024 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296926.0,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1.0,0.0,1.0,0.0,2.0,7.0,7.0,0.0,LIDO,Faturas vencidas há mais de 30 dias estarão sujeitas ao registro nos Órgãos de Proteção ao Crédito.,58.98,58.98,-11.15,0.0,0.0,106.81,4,2020-04-20
H025 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,2296900.0,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1.0,0.0,0.0,0.0,1.0,20228.0,20696.0,468.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",5651.33,5651.33,-1068.11,0.0,0.0,10234.55,4,2020-04-20
H026 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,9912770.0,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1.0,0.0,0.0,0.0,1.0,1019.0,1135.0,116.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",1363.97,1363.97,-257.79,0.0,0.0,2470.15,4,2020-04-20
H027 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,16701186.0,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1.0,0.0,0.0,0.0,1.0,50603.0,51149.0,546.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",6601.37,6601.37,-1247.66,0.0,0.0,11955.08,4,2020-04-20
H028 2020 Abril,Medidor faturado pela UFSC,2020.0,Abril,6205615.0,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1.0,0.0,0.0,0.0,1.0,8.0,18.0,10.0,MÉDIO,"FATURA EMITIDA PELA MÉDIA, ELIMINE A ANORMALIDADE CONSTRUINDO O ABRIGO PADRÃO NA TESTADA DO IMÓVEL. DÚVIDAS LIGUE: 0800 6430195
OU ACESSE www.casan.com.br",72.89,72.89,-13.78,0.0,0.0,132.0,4,2020-04-20
