CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,811.0,844.0,33.0,LIDO,ALTO CONSUMO,419.95,0.0,-39.69,0.0,0.0,380.26,4,2023-04-20
H002 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,2225.0,2273.0,48.0,LIDO,OK,579.08,0.0,-54.72,0.0,0.0,524.36,4,2023-04-20
H003 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,3483.0,3784.0,301.0,LIDO/REVISÃO,CONFIRMAÇÃO LEITURA,4303.27,0.0,-406.66,0.0,0.0,3896.61,4,2023-04-20
H004 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,626.0,652.0,26.0,LIDO,ALTO CONSUMO,318.52,0.0,-30.11,0.0,0.0,288.41,4,2023-04-20
H005 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,3795.0,3924.0,129.0,LIDO/REVISÃO,CONFIRMAÇÃO/LEITURA,1810.99,0.0,-171.14,0.0,0.0,1639.85,4,2023-04-20
H006 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,17.0,19.0,2.0,LIDO,ALTO CONSUMO,45.4,0.0,-4.29,0.0,0.0,41.11,4,2023-04-20
H007 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,5299.0,5416.0,117.0,LIDO,OK,1637.11,0.0,-154.7,0.0,0.0,1482.41,4,2023-04-20
H008 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,50981.0,51242.0,261.0,LIDO/REVISÃO,ALTO CONSUMO,3723.67,0.0,-351.89,0.0,0.0,3371.78,4,2023-04-20
H009 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,146.0,151.0,5.0,LIDO,ALTO CONSUMO,60.88,0.0,-5.76,0.0,0.0,55.12,4,2023-04-20
H010 2023 Abril,Medidor faturado pela UFSC,2023.0,Abril,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,2166.0,2203.0,37.0,MÉDIO,VIDRO DO HIDRÔMETRO SUADO,477.91,0.0,-45.17,0.0,0.0,432.74,4,2023-04-20
