CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2016 Agosto,1,2016,Agosto,2297094,2016-08-18,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,3356,3400,44,44,Lido,,351.85,,-33.26,,,318.59,318.59,0
H002 2016 Agosto,2,2016,Agosto,2297116,2016-08-18,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,3165,3176,11,20,Mínimo,,105.94,,-10.02,,,95.92,95.92,0
H003 2016 Agosto,3,2016,Agosto,2297124,2016-08-18,C11C010369,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,4308,4584,276,276,Lido,,2391.24,,-225.97,,,2165.27,2165.27,0
H004 2016 Agosto,4,2016,Agosto,2297086,2016-08-18,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,1118,1192,74,74,Lido,,615.56,,-58.18,,,557.38,557.38,0
H005 2016 Agosto,5,2016,Agosto,2297078,2016-08-18,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,6726,6939,213,213,Lido,,1837.44,,-173.63,,,1663.81,1663.81,0
H006 2016 Agosto,6,2016,Agosto,9185569,2016-08-18,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,2797,2841,44,44,Lido,,351.85,,-33.26,,,318.59,318.59,0
H007 2016 Agosto,7,2016,Agosto,9185550,2016-08-18,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,2999,3078,79,79,Lido,,659.51,,-62.34,,,597.17,597.17,0
H008 2016 Agosto,8,2016,Agosto,2297159,2016-08-18,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,2706,3172,466,466,Lido,,4061.44,,-383.8,,,3677.64,3677.64,0
H009 2016 Agosto,9,2016,Agosto,2297140,2016-08-18,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,1767,1807,40,40,Lido,,316.69,,-29.93,,,286.76,286.76,0
H010 2016 Agosto,10,2016,Agosto,2297132,2016-08-18,C11C010472,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,174,178,4,10,Mínimo,,52.97,,-5.0,,,47.97,47.97,0
H011 2016 Agosto,11,2016,Agosto,8149615,2016-08-18,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,4073,4810,737,737,Informado,,6443.66,,-608.93,,,5834.73,5834.73,0
H014 2016 Agosto,12,2016,Agosto,2296969,2016-08-31,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,154541,168242,13701,13701,Lido,,134020.85,134020.85,,,,268041.7,268041.7,0
H015 2016 Agosto,13,2016,Agosto,2296918,2016-08-19,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,1.0,,,,1,835,849,14,14,Informado,,88.13,88.13,-16.66,,,159.6,159.6,0
H017 2016 Agosto,14,2016,Agosto,2296950,2016-08-18,C11C001906,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,8882,9325,443,443,Informado,,3859.26,3859.26,-729.41,,,6989.11,6989.11,0
H018 2016 Agosto,15,2016,Agosto,2296640,2016-08-19,A13C043935,H018,CASAN,Florianópolis,DAE,1.0,,,,1,701,747,46,46,Médio,,369.43,369.43,-69.83,,,669.03,669.03,0
H019 2016 Agosto,16,2016,Agosto,9097821,2016-08-19,C11C005250,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,304,342,38,38,Informado,,264.16,264.16,-49.92,,,478.4,478.4,0
H020 2016 Agosto,17,2016,Agosto,2296829,2016-08-19,C11C009540,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,6449,7866,1417,1417,Informado,,12421.2,12421.2,-2347.61,,,22494.79,22494.79,0
H021 2016 Agosto,18,2016,Agosto,2296632,2016-08-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,1207,1457,250,250,Informado,,2127.76,2127.76,-402.15,,,3853.37,3853.37,0
H023 2016 Agosto,19,2016,Agosto,2296934,2016-08-19,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,1.0,,,,1,9597,9823,226,226,Lido,,1951.72,1951.72,-368.87,,,3534.57,3534.57,0
H024 2016 Agosto,20,2016,Agosto,2296926,2016-08-13,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,186,190,4,20,Mínimo,,105.94,105.94,-20.03,,,191.85,191.85,0
H025 2016 Agosto,21,2016,Agosto,2296900,2016-08-19,C11C001273,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,3637,3926,289,289,Lido,,2505.52,2505.52,-473.54,,,4537.5,4537.5,0
H026 2016 Agosto,22,2016,Agosto,9912770,2016-08-19,A10C023447,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,1510,1805,295,295,Informado,,2558.26,2558.26,-483.52,,,4633.0,4633.0,0
H027 2016 Agosto,23,2016,Agosto,2296888,2016-08-19,C11C009484,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,,,1,6170,8111,1941,1941,Informado,,17027.43,17027.43,-3218.19,,,30836.67,30836.67,0
H028 2016 Agosto,24,2016,Agosto,6205615,2016-08-19,B10C017964,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,33,43,10,10,Médio,,52.97,52.97,-10.02,,,95.92,95.92,0
H029 2016 Agosto,25,2016,Agosto,7297220,2016-08-12,A08X051927,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1984,1957,-27,10,Mínimo,,52.97,52.97,-10.02,,,95.92,95.92,0
H030 2016 Agosto,26,2016,Agosto,2296276,2016-08-12,E11C000101,H030,CASAN,Florianópolis,Moradia Estudantil,,30.0,,,30,8956,9773,817,817,Lido,,4654.75,4654.75,-879.76,,,8429.74,8429.74,0
H032 2016 Agosto,27,2016,Agosto,2296659,2016-08-19,C11C001386,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,3159,3481,322,322,Lido,,2795.61,2795.61,-528.37,,,5062.85,5062.85,0
H033 2016 Agosto,28,2016,Agosto,2296667,2016-08-13,B10C014063,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,1875,2025,150,150,Lido,,1305.39,1305.39,-246.72,,,2364.06,2364.06,0
H034 2016 Agosto,29,2016,Agosto,8416621,2016-08-19,B10C014069,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,1982,2164,182,182,Lido,,1564.94,1564.94,-295.77,,,2834.11,2834.11,0
