CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1376.0,1404.0,28.0,LIDO,Sem ocorrência,429.03,429.03,-84.08,0.0,31.74,805.72,10,2024-10-20
H002 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",2.0,0.0,0.0,0.0,2.0,3062.0,3116.0,54.0,LIDO,Sem ocorrência,822.28,822.28,-157.69,0.0,23.95,1510.82,10,2024-10-20
H003 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,10922.0,11197.0,275.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,4847.86,4847.86,-949.13,0.0,347.95,9094.54,10,2024-10-20
H004 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2312.0,2502.0,190.0,LIDO,Sem ocorrência,3327.21,3327.21,-639.0,0.0,107.55,6122.97,10,2024-10-20
H005 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,944.0,1096.0,152.0,LIDO,Alto Consumo,2647.39,2647.39,-504.34,0.0,42.11,4832.55,10,2024-10-20
H006 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,249.0,262.0,13.0,LIDO,Alto Consumo,160.68,160.68,-30.63,0.0,2.72,293.45,10,2024-10-20
H007 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,7002.0,7094.0,92.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,1573.99,1573.99,-300.79,0.0,34.98,2882.17,10,2024-10-20
H008 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,3031.0,3376.0,345.0,LIDO,Sem ocorrência,6100.16,6100.16,-1166.52,0.0,143.84,11177.64,10,2024-10-20
H009 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,27.0,28.0,1.0,LIDO,Alto Consumo,49.68,49.68,-9.54,0.0,1.57,91.39,10,2024-10-20
H010 2024 Outubro,Medidor faturado pela UFSC,2024.0,Outubro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,2708.0,2734.0,26.0,LIDO/REVISÃO,Média,393.25,393.25,-75.54,0.0,12.95,723.91,10,2024-10-20
