CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2014 Junho,1,2014,Junho,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1,0,0,0,1,2574,2596,22,,,132.11,,-12.48,,,119.63,6,2014-06-20
H002 2014 Junho,2,2014,Junho,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2,0,0,0,2,2799,2806,20,,,88.32,,-8.34,,,79.98,6,2014-06-20
H003 2014 Junho,3,2014,Junho,2297124,2014-06-18,F11C000559,H003,CASAN,Florianópolis,Biotério Central,1,0,0,0,1,3472,3761,289,Lido,,2088.92,,-197.41,,,1891.51,6,2014-06-20
H004 2014 Junho,4,2014,Junho,2297086,2014-06-18,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1,0,0,0,1,795,829,34,Lido,,220.05,,-20.79,,,199.26,6,2014-06-20
H005 2014 Junho,5,2014,Junho,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1,0,0,0,1,1927,2133,206,,,1480.62,,-139.92,,,1340.7,6,2014-06-20
H006 2014 Junho,6,2014,Junho,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1,0,0,0,1,1388,1452,64,,,439.92,,-41.58,,,398.34,6,2014-06-20
H007 2014 Junho,7,2014,Junho,9185550,2014-06-18,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1,0,0,0,1,1406,1431,25,Lido,,154.09,,-14.56,,,139.53,6,2014-06-20
H008 2014 Junho,8,2014,Junho,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1,0,0,0,1,4076,4465,389,,,2821.81,,-266.66,,,2555.15,6,2014-06-20
H009 2014 Junho,9,2014,Junho,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1,0,0,0,1,830,865,35,,,227.38,,-21.48,,,205.9,6,2014-06-20
H010 2014 Junho,10,2014,Junho,2297132,,,H010,CASAN,Florianópolis,ETUSC,1,0,0,0,1,1479,1497,18,,,102.79,,-9.71,,,93.08,6,2014-06-20
H011 2014 Junho,11,2014,Junho,8149615,2014-06-18,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1,0,0,0,1,4310,5055,745,Lido,,5430.9,,-513.22,,,4917.68,6,2014-06-20
H014 2014 Junho,12,2014,Junho,2296969,2014-06-18,J13AA30050,H014,CASAN,Florianópolis,Hospital Universitário,51,0,6,1,58,21403,32987,11584,Lido,,84906.58,84906.58,-16047.34,,,153765.82,6,2014-06-20
H015 2014 Junho,13,2014,Junho,2296918,2014-06-18,B10C013878,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,0,1,0,0,1,2311,2540,229,Médio,,1954.75,1954.75,-369.46,,,3540.04,6,2014-06-20
H017 2014 Junho,14,2014,Junho,2296950,2014-06-18,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1,0,0,0,1,5053,5698,645,Lido,,4698.01,4698.01,-887.92,,,8508.1,6,2014-06-20
H018 2014 Junho,15,2014,Junho,2296640,2014-06-18,A10C017754,H018,CASAN,Florianópolis,DAE,1,0,0,0,1,781,801,20,Lido,,117.45,117.45,-22.21,,,212.69,6,2014-06-20
H019 2014 Junho,16,2014,Junho,9097821,2014-06-18,B10C012857,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1,0,1,0,2,342,1033,691,Lido,,5564.6,5564.6,-1051.71,,,10077.49,6,2014-06-20
H020 2014 Junho,17,2014,Junho,2296829,2014-06-18,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1,0,0,0,1,7518,8063,545,Lido,,3965.12,3965.12,-749.41,,,7180.83,6,2014-06-20
H021 2014 Junho,18,2014,Junho,2296632,2014-06-18,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2,0,0,0,2,802,857,55,Lido,,344.83,344.83,-65.17,,,624.49,6,2014-06-20
H023 2014 Junho,19,2014,Junho,2296934,2014-06-18,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2,0,1,0,3,2882,3440,558,Lido,,4259.22,4259.22,-804.99,,,7713.45,6,2014-06-20
H024 2014 Junho,20,2014,Junho,2296926,2014-06-18,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1,0,1,0,2,159,164,20,Mínimo,,88.32,88.32,-16.7,,,159.94,6,2014-06-20
H025 2014 Junho,21,2014,Junho,2296900,2014-06-18,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1,0,0,0,1,4864,5322,458,Médio,,3327.51,3327.51,-628.9,,,6026.12,6,2014-06-20
H026 2014 Junho,22,2014,Junho,9912770,2014-06-18,,H026,CASAN,Florianópolis,CFM Bloco B,1,0,0,0,1,294,334,40,Lido,,264.03,264.03,-49.9,,,478.16,6,2014-06-20
H027 2014 Junho,23,2014,Junho,2296888,2014-06-18,C11C000341,H027,CASAN,Florianópolis,Colégio Aplicação,1,0,1,0,2,2505,2849,344,Lido,,2693.5,2693.5,-509.08,,,4877.92,6,2014-06-20
H028 2014 Junho,24,2014,Junho,6205615,2014-06-18,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1,0,0,0,1,7408,7408,10,Mínimo,,44.16,44.16,-8.34,,,79.98,6,2014-06-20
H029 2014 Junho,25,2014,Junho,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1,0,0,0,1,1891,1893,10,,,44.16,44.16,-8.34,,,79.98,6,2014-06-20
H030 2014 Junho,26,2014,Junho,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,0,0,0,0,0,11116,12301,1185,,,6711.85,6711.85,-1268.54,,,12155.16,6,2014-06-20
H032 2014 Junho,27,2014,Junho,2296659,2014-06-18,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1,0,0,0,1,13090,13186,96,Lido,,674.45,674.45,-127.48,,,1221.42,6,2014-06-20
H033 2014 Junho,28,2014,Junho,2296667,2014-06-18,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1,0,1,0,2,1750,1999,249,Lido,,1907.47,1907.47,-360.52,,,3454.42,6,2014-06-20
H034 2014 Junho,29,2014,Junho,8416621,2014-06-18,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1,0,0,0,1,6038,6172,134,Lido,,952.94,952.94,-180.11,,,1725.77,6,2014-06-20
H035 2014 Junho,30,2014,Junho,2296845,2014-06-18,A91T139268,H035,CASAN,Florianópolis,CTC 2 - INEP,1,0,0,0,1,2507,2514,10,Mínimo,,44.16,44.16,-8.34,,,79.98,6,2014-06-20
H037 2014 Junho,31,2014,Junho,6435548,2014-06-18,Y13F347112,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1,0,0,1,2,175,326,151,Lido,,1048.4,1048.4,-198.15,,,1898.65,6,2014-06-20
H038 2014 Junho,32,2014,Junho,2296683,2014-05-18,C11C005093,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1,0,0,0,1,1748,1930,182,Lido,,1304.73,1304.73,-246.58,,,2362.88,6,2014-06-20
H040 2014 Junho,33,2014,Junho,2296691,2014-06-18,C11C000642,H040,CASAN,Florianópolis,Reitoria I,1,0,0,0,1,3104,3371,267,Lido,,1927.69,1927.69,-364.33,,,3491.05,6,2014-06-20
H041 2014 Junho,34,2014,Junho,2296810,2014-06-18,,H041,CASAN,Florianópolis,CCE 1 - Básico,1,0,1,0,2,10,258,248,Lido,,1899.19,1899.19,-358.94,,,3439.44,6,2014-06-20
H042 2014 Junho,35,2014,Junho,2296802,2014-06-18,C11C007092,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1,0,0,0,1,8320,8774,454,Lido,,3298.19,3298.19,-623.36,,,5973.02,6,2014-06-20
H043 2014 Junho,36,2014,Junho,6816860,2014-06-18,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1,0,0,0,1,578,583,10,Mínimo,,44.16,44.16,-8.34,,,79.98,6,2014-06-20
H044 2014 Junho,37,2014,Junho,2296896,2014-06-18,C11C001100,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,1,0,0,0,1,6183,6522,339,Lido,,2455.37,2455.37,-464.07,,,4446.67,6,2014-06-20
H045 2014 Junho,38,2014,Junho,2296772,2014-06-18,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,1,0,0,0,1,342,354,12,Lido,,58.82,58.82,-11.12,,,106.52,6,2014-06-20
H046 2014 Junho,39,2014,Junho,2296780,2014-06-18,B10C007949,H046,CASAN,Florianópolis,Horto Botânico,1,0,0,0,1,1857,1974,117,Lido,,828.35,828.35,-156.56,,,1500.14,6,2014-06-20
H047 2014 Junho,40,2014,Junho,2296837,2014-06-18,B10C013876,H047,CASAN,Florianópolis,Creche UFSC,1,0,0,0,1,3682,5000,1318,Lido,,9630.36,9630.36,-1820.13,,,17440.59,6,2014-06-20
H048 2014 Junho,41,2014,Junho,2296764,2014-06-18,C11C004576,H048,CASAN,Florianópolis,Centro de Filosofia e Humanas 1,1,0,0,0,1,8027,8580,553,Lido,,4023.75,4023.75,-760.49,,,7287.01,6,2014-06-20
H049 2014 Junho,42,2014,Junho,9197478,2014-06-18,B10C002846,H049,CASAN,Florianópolis,Centro de Educação 1,1,0,0,0,1,3317,3772,455,Lido,,3305.52,3305.52,-624.74,,,5986.3,6,2014-06-20
H050 2014 Junho,43,2014,Junho,2296748,2014-06-18,C10C005435,H050,CASAN,Florianópolis,Centro de Educação 2,1,0,0,0,1,2968,3020,52,Lido,,351.97,351.97,-66.53,,,637.41,6,2014-06-20
