CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1435.0,1468.0,33.0,MÉDIO,Média,518.48,518.48,-97.99,0.0,0.0,938.97,12,2024-12-20
H002 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",2.0,0.0,0.0,0.0,2.0,3166.0,3218.0,52.0,MÉDIO,Média,786.5,786.5,-148.64,0.0,0.0,1424.36,12,2024-12-20
H003 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,11521.0,11846.0,325.0,MÉDIO,Média,5742.36,5742.36,-1085.31,0.0,0.0,10399.41,12,2024-12-20
H004 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2666.0,2877.0,211.0,LIDO,Sem ocorrência,3702.9,3702.9,-699.85,0.0,0.0,6705.95,12,2024-12-20
H005 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,1225.0,1349.0,124.0,MÉDIO,Média,2146.47,2146.47,-405.68,0.0,0.0,3887.26,12,2024-12-20
H006 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,268.0,274.0,6.0,LIDO/REVISÃO,Média,81.53,81.53,-15.41,0.0,0.0,147.65,12,2024-12-20
H007 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,7187.0,7267.0,80.0,LIDO,Sem ocorrência,1359.31,1359.31,-256.91,0.0,0.0,2461.71,12,2024-12-20
H008 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,3700.0,4054.0,354.0,MÉDIO,Média,6261.17,6261.17,-1183.36,0.0,0.0,11338.98,12,2024-12-20
H009 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,29.0,29.0,0.0,LIDO,HIDRÔMETRO PARADO.,43.31,43.31,-8.19,0.0,0.0,78.43,12,2024-12-20
H010 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,2761.0,2790.0,29.0,MÉDIO,Média,446.92,446.92,-84.47,0.0,0.0,809.37,12,2024-12-20
H011 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,8149615.0,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1.0,0.0,0.0,0.0,1.0,46320.0,46408.0,88.0,LIDO/REVISÃO,Média,1502.43,1502.43,-283.96,0.0,0.0,2720.9,12,2024-12-20
H014 2024 Dezembro,Medidor não faturado pela UFSC,2024.0,Dezembro,17859999.0,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51.0,0.0,9.0,1.0,61.0,235637.0,241797.0,6160.0,MÉDIO,Média,107937.01000000001,107937.01000000001,-20400.090000000004,0.0,0.0,195473.93,12,2024-12-20
H015 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296918.0,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1.0,0.0,0.0,0.0,1.0,212.0,212.0,0.0,LIDO/REVISÃO,Média,43.31,43.31,-8.19,0.0,0.0,78.43,12,2024-12-20
H017 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296950.0,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1.0,0.0,1.0,0.0,2.0,10223.0,10664.0,441.0,MÉDIO,Média,8533.43,8533.43,-1612.82,0.0,0.0,15454.04,12,2024-12-20
H018 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296640.0,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1.0,0.0,0.0,0.0,1.0,402.0,447.0,45.0,MÉDIO,Média,733.16,733.16,-138.56,0.0,0.0,1327.76,12,2024-12-20
H019 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,9097821.0,Trindade,C11C005250,H019,CASAN,Florianópolis - Trindade,CSE 2 - CSE 9 e 10 (Bl F e G),1.0,0.0,1.0,1.0,3.0,14840.0,15126.0,286.0,MÉDIO,Média,5110.3,5110.3,-965.85,0.0,0.0,9254.75,12,2024-12-20
H020 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296829.0,Trindade,C11C009540,H020,CASAN,Florianópolis - Trindade,"CSE 1 - CSE 1 ao 4 (Bl A, B, C e D) e CCJ 1 e 2 (Bl E e F)",1.0,0.0,0.0,0.0,1.0,2313.0,2326.0,13.0,MÉDIO,Média,160.68,160.68,-30.37,-290.99,0.0,0.0,12,2024-12-20
H021 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296632.0,Trindade,B10C001813,H021,CASAN,Florianópolis - Trindade,Igrejinha UFSC (DAC 01 a 03 e DEX01),2.0,0.0,0.0,0.0,2.0,1143.0,1258.0,115.0,MÉDIO,Média,1913.57,1913.57,-361.66,0.0,0.0,3465.48,12,2024-12-20
H023 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296934.0,Trindade,B10C010114,H023,CASAN,Florianópolis - Trindade,Associação Volantes 1,1.0,0.0,1.0,0.0,2.0,17138.0,17213.0,75.0,MÉDIO,Média,1197.98,1197.98,-226.42,0.0,0.0,2169.54,12,2024-12-20
H024 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296926.0,Trindade,A96C161864,H024,CASAN,Florianópolis - Trindade,Associação Volantes 2,1.0,0.0,2.0,0.0,3.0,25.0,25.0,0.0,MÉDIO,Média,129.93,129.93,-24.56,0.0,0.0,235.3,12,2024-12-20
H025 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,2296900.0,Trindade,C11C001273,H025,CASAN,Florianópolis - Trindade,CFM  Bloco A,1.0,0.0,0.0,0.0,1.0,26629.0,27140.0,511.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,9069.9,9069.9,-1714.21,0.0,0.0,16425.59,12,2024-12-20
H026 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,9912770.0,Trindade,A10C023447,H026,CASAN,Florianópolis - Trindade,CFM  Bloco B,1.0,0.0,0.0,0.0,1.0,3675.0,3746.0,71.0,MÉDIO,Média,1198.3,1198.3,-226.49,0.0,0.0,2170.11,12,2024-12-20
H027 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,16701186.0,Trindade,C11C009484,H027,CASAN,Florianópolis - Trindade,Colégio de Aplicação,1.0,0.0,0.0,0.0,1.0,69128.0,69478.0,350.0,MÉDIO,Média,6189.61,6189.61,-1169.83,0.0,0.0,11209.39,12,2024-12-20
H028 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,6205615.0,Trindade,B10C017964,H028,CASAN,Florianópolis - Trindade,Nativas do Horto Botânico,1.0,0.0,0.0,0.0,1.0,2141.0,2175.0,34.0,MÉDIO,VIDRO DO HIDROMETRO SUADO,536.37,536.37,-101.37,0.0,0.0,971.37,12,2024-12-20
H029 2024 Dezembro,Medidor faturado pela UFSC,2024.0,Dezembro,7297220.0,Trindade,A08X051927,H029,CASAN,Florianópolis - Trindade,Moradia Estudantil - Portaria,1.0,0.0,0.0,0.0,1.0,320.0,326.0,6.0,LIDO,Alto Consumo,81.53,81.53,-15.41,0.0,0.0,147.65,12,2024-12-20
