CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H073 2014 Setembro,57.0,2014.0,Setembro,2297175.0,,,H073,CASAN,Florianópolis,Estação Experimental de Aquicultura,,,,,0,5927.0,6052.0,125.0,125.0,,,950.4,,-89.81,,,860.59,860.59,0.0
H074 2014 Setembro,58.0,2014.0,Setembro,2297183.0,,,H074,CASAN,Florianópolis,CCA 2,,,,,0,13091.0,14477.0,1386.0,1386.0,,,10852.91,,-1025.6,,,9827.31,9827.31,0.0
H076 2014 Setembro,59.0,2014.0,Setembro,2297361.0,,,H076,CASAN,Florianópolis,"Cidade das Abelhas - Rod. Virgílio Várzea, 2600",,,,,0,162.0,170.0,8.0,10.0,,,47.32,,-4.47,,,42.85,42.85,0.0
H081 2014 Setembro,60.0,2014.0,Setembro,2295652.0,,,H081,CASAN,Florianópolis,UFSC do MEC,,,,,0,427.0,568.0,141.0,141.0,,,1076.05,1076.05,-203.37,,,1948.73,1948.73,0.0
H082 2014 Setembro,61.0,2014.0,Setembro,5716594.0,,,H082,CASAN,Florianópolis,CCA - Tapera,,,,,0,1929.0,2112.0,183.0,183.0,,,1405.87,,-132.86,,,1273.01,1273.01,0.0
H083 2014 Setembro,62.0,2014.0,Setembro,6997937.0,,,H083,CASAN,Florianópolis,Casa da Arte,,,,,0,552.0,554.0,2.0,10.0,,,47.32,47.32,-8.95,,,85.69,85.69,0.0
H084 2014 Setembro,63.0,2014.0,Setembro,9197419.0,,,H084,CASAN,Florianópolis,"Centro de Pesquisa - Bc dos Coroas, SN",1.0,,,,1,2802.0,2824.0,22.0,22.0,,,141.55,141.55,-26.75,,,256.35,256.35,0.0
H085 2014 Setembro,64.0,2014.0,Setembro,12791172.0,,,H085,CASAN,Florianópolis,Fortaleza de São José da Ponta Grossa,,,,,0,166.0,171.0,5.0,10.0,,,47.32,,-4.47,,,42.85,42.85,0.0
H086 2014 Setembro,65.0,2014.0,Setembro,12799408.0,,,H086,CASAN,Florianópolis,UFSC - Jurerê,,,,,0,26.0,27.0,1.0,10.0,,,47.32,,-4.47,,,42.85,42.85,0.0
H087 2014 Setembro,66.0,2014.0,Setembro,13018540.0,,,H087,CASAN,Florianópolis,UFSC-Sambaqui,,,,,0,4244.0,4294.0,50.0,50.0,,,361.44,,-34.15,,,327.29,327.29,0.0
H088 2014 Setembro,67.0,2014.0,Setembro,2294605.0,,,H088,CASAN,Florianópolis,Casa Vida e Saúde,,,,,0,23.0,24.0,1.0,10.0,,,47.32,47.32,-8.95,,,85.69,85.69,0.0
H089 2014 Setembro,68.0,2014.0,Setembro,2347660.0,,,H089,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, 502",1.0,,,,1,4155.0,4758.0,603.0,603.0,,,4704.09,4704.09,-889.07,,,8519.11,8519.11,0.0
H090 2014 Setembro,69.0,2014.0,Setembro,2347679.0,,,H090,CASAN,Florianópolis,"Estação de Maricultura Bc dos Coroas, SN",1.0,,,,1,2225.0,2242.0,17.0,17.0,,,102.29,102.29,-19.34,,,185.24,185.24,0.0
H106 2014 Setembro,70.0,2014.0,Setembro,14948508.0,,B11C061116,H106,CASAN,Araquari,Barra do Itapocu - Baln. Barra do Sul,1.0,,,,1,536.0,553.0,17.0,17.0,,,102.29,,-9.66,,,92.63,92.63,0.0
,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
