CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,57.0,90.0,33.0,LIDO,ALTO CONSUMO,353.03,0.0,-33.36,0.0,0.0,319.67,2,2021-02-20
H002 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,162.0,213.0,51.0,LIDO,OK,523.36,0.0,-49.45,0.0,0.0,473.91,2,2021-02-20
H003 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,23122.0,23250.0,128.0,LIDO,OK,1510.13,0.0,-142.71,0.0,0.0,1367.42,2,2021-02-20
H004 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,3600.0,3659.0,59.0,LIDO,OK,669.71,0.0,-63.29,0.0,0.0,606.42,2,2021-02-20
H005 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,141.0,192.0,51.0,LIDO,OK,572.27,0.0,-54.08,0.0,0.0,518.19,2,2021-02-20
H006 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,9.0,10.0,1.0,LIDO/REVISÃO,OK,33.83,0.0,-3.19,0.0,0.0,30.64,2,2021-02-20
H007 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,2972.0,3011.0,39.0,LIDO,OK,426.11,0.0,-40.26,0.0,0.0,385.85,2,2021-02-20
H008 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,34222.0,34478.0,256.0,LIDO,OK,3069.17,0.0,-290.04,0.0,0.0,2779.13,2,2021-02-20
H009 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,67.0,68.0,1.0,LIDO,OK,33.83,0.0,-3.19,0.0,0.0,30.64,2,2021-02-20
H010 2021 Fevereiro,Medidor faturado pela UFSC,2021.0,Fevereiro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1701.0,1703.0,2.0,LIDO,OK,38.17,0.0,-3.61,0.0,0.0,34.56,2,2021-02-20
