CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Agosto,1,2013,Agosto,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2251,2293,42,42,,,278.68,,-26.34,,,252.34,252.34,0
H002 2013 Agosto,2,2013,Agosto,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2621,2636,15,20,,,88.32,,-8.34,,,79.98,79.98,0
H003 2013 Agosto,3,2013,Agosto,2297124,2013-08-19,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,33662,34879,1217,1217,Lido,,8890.14,,-840.12,,,8050.02,8050.02,0
H004 2013 Agosto,4,2013,Agosto,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,573,586,13,13,,,66.15,,-6.25,,,59.9,59.9,0
H005 2013 Agosto,5,2013,Agosto,2297078,2013-08-19,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,6727,72,-6655,166,Lido,,1187.47,,-112.21,,,1075.26,1075.26,0
H006 2013 Agosto,6,2013,Agosto,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,721,785,64,64,Lido,,439.92,,-41.58,,,398.34,398.34,0
H007 2013 Agosto,7,2013,Agosto,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,652,747,95,95,Lido,,667.12,,-63.04,,,604.08,604.08,0
H008 2013 Agosto,8,2013,Agosto,2297159,2013-08-19,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,1899,204,-1695,387,Lido,,2807.16,,-265.27,,,2541.89,2541.89,0
H009 2013 Agosto,9,2013,Agosto,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,436,498,62,62,,,425.26,,-40.18,,,385.08,385.08,0
H010 2013 Agosto,10,2013,Agosto,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1230,1251,21,21,,,124.78,,-11.79,,,112.99,112.99,0
H011 2013 Agosto,11,2013,Agosto,8149615,2013-08-19,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,786,89,-697,127,Lido,,901.64,,-85.21,,,816.43,816.43,0
H014 2013 Agosto,12,2013,Agosto,2296969,2013-08-19,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,437551,449362,11811,11811,Lido,,86614.62,86614.62,-16370.16,,,156859.08,156859.08,0
H015 2013 Agosto,13,2013,Agosto,2296918,2013-08-19,,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,5738,235,-5503,236,Médio,,2019.28,2019.28,-381.65,,,3656.91,3656.91,0
H017 2013 Agosto,14,2013,Agosto,2296950,2013-08-19,C11C000344,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,31655,209,-31446,1014,Informado,,7402.38,7402.38,-1399.05,,,13405.71,13405.71,0
H018 2013 Agosto,15,2013,Agosto,2296640,2013-08-19,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,595,609,14,14,Lido,,73.47,73.47,-13.89,,,133.05,133.05,0
H019 2013 Agosto,16,2013,Agosto,9097821,2013-08-19,B10C013879,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,2547,51,-2496,121,Lido,,848.39,848.39,-160.35,,,1536.43,1536.43,0
H020 2013 Agosto,17,2013,Agosto,2296829,2013-08-19,C11C004462,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,19709,526,-19183,702,Lido,,5115.76,5115.76,-966.88,,,9264.64,9264.64,0
H021 2013 Agosto,18,2013,Agosto,2296632,2013-08-19,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,630,645,15,20,Mínimo,,88.32,88.32,-16.7,,,159.94,159.94,0
H023 2013 Agosto,19,2013,Agosto,2296934,2013-08-19,B10C013880,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,3487,169,-3318,317,Lido,,2341.1,2341.1,-442.47,,,4239.73,4239.73,0
H024 2013 Agosto,20,2013,Agosto,2296926,2013-08-19,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,132,137,5,20,Mínimo,,88.32,88.32,-16.7,,,159.94,159.94,0
H025 2013 Agosto,21,2013,Agosto,2296900,2013-08-19,C11C002633,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,5892,263,-5629,390,Lido,,2829.14,2829.14,-534.71,,,5123.57,5123.57,0
H026 2013 Agosto,22,2013,Agosto,9912770,2013-08-19,A11C032293,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,2388,2419,31,31,Lido,,198.07,198.07,-37.42,,,358.72,358.72,0
H027 2013 Agosto,23,2013,Agosto,2296888,2013-08-19,C11C000341,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,1.0,,2,6006,139,-5867,278,Lido,,2147.41,2147.41,-405.86,,,3888.96,3888.96,0
H028 2013 Agosto,24,2013,Agosto,6205615,2013-08-19,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,7408,7408,0,10,Mínimo,,44.16,44.16,-8.34,,,79.98,79.98,0
H029 2013 Agosto,25,2013,Agosto,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1872,1874,2,10,,,44.16,44.16,-8.34,,,79.98,79.98,0
H030 2013 Agosto,26,2013,Agosto,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,,30.0,,,30,2454,3281,827,827,,,3957.61,3957.61,-747.99,,,7167.23,7167.23,0
H032 2013 Agosto,27,2013,Agosto,2296659,2013-08-19,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,8082,8643,561,561,Lido,,4082.38,4082.38,-771.57,,,7393.19,7393.19,0
H033 2013 Agosto,28,2013,Agosto,2296667,2013-08-19,C11C002632,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,13952,98,-13854,152,Lido,,1104.89,1104.89,-208.82,,,2000.96,2000.96,0
H034 2013 Agosto,29,2013,Agosto,8416621,2013-08-19,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,4718,4810,92,92,Lido,,645.13,645.13,-121.93,,,1168.33,1168.33,0
H035 2013 Agosto,30,2013,Agosto,2296845,2013-08-19,A91T139268,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,2447,2448,1,72,Informado,,498.55,498.55,-94.22,,,902.88,902.88,0
H037 2013 Agosto,31,2013,Agosto,6435548,2013-08-19,C09B271046,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2,5827,61,-5766,112,Informado,,762.58,762.58,-144.12,,,1381.04,1381.04,0
H038 2013 Agosto,32,2013,Agosto,2296683,2013-08-19,C09B271063,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1.0,,,,1,39366,117,-39249,522,Informado,,3796.56,3796.56,-717.55,,,6875.57,6875.57,0
H040 2013 Agosto,33,2013,Agosto,2296691,2013-08-19,D96T001244,H040,CASAN,Florianópolis,Reitoria I,1.0,,,,1,1689,233,-1456,325,Informado,,2352.76,2352.76,-444.68,,,4260.84,4260.84,0
H041 2013 Agosto,34,2013,Agosto,2296810,2013-08-19,C11C000641,H041,CASAN,Florianópolis,CCE 1 - Básico,1.0,,1.0,,2,9026,128,-8898,128,Lido,,906.3,906.3,-171.29,,,1641.31,1641.31,0
H042 2013 Agosto,35,2013,Agosto,2296802,2013-08-19,C11C007092,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1.0,,,,1,4452,4771,319,319,Lido,,2308.79,2308.79,-436.36,,,4181.22,4181.22,0
H043 2013 Agosto,36,2013,Agosto,6816860,2013-08-19,A94S171408,H043,CASAN,Florianópolis,Casa de Veg. - Depto. Microbiologia,1.0,,,,1,511,518,7,10,Mínimo,,44.16,44.16,-8.34,,,79.98,79.98,0
H044 2013 Agosto,37,2013,Agosto,2296896,2013-08-19,C11C001100,H044,CASAN,Florianópolis,CCB Carvoeira 1 - Lab. de ensino e pesquisa,1.0,,,,1,3600,3718,118,118,Lido,,835.68,835.68,-157.94,,,1513.42,1513.42,0
H045 2013 Agosto,38,2013,Agosto,2296772,2013-08-19,B11C039161,H045,CASAN,Florianópolis,Museu de Antropologia,1.0,,,,1,232,238,6,10,Mínimo,,44.16,44.16,-8.34,,,79.98,79.98,0
H046 2013 Agosto,39,2013,Agosto,2296780,2013-08-19,B10C013877,H046,CASAN,Florianópolis,Horto Botânico,1.0,,,,1,6575,32,-6543,163,Lido,,1165.48,1165.48,-220.28,,,2110.68,2110.68,0
