CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Julho,1,2013,Julho,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2218.0,2251,33,33,,,199.14,,-18.81,,,180.33,180.33,0
H002 2013 Julho,2,2013,Julho,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2610.0,2621,11,20,,,82.68,,-7.82,,,74.86,74.86,0
H003 2013 Julho,3,2013,Julho,2297124,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,32714.0,33662,948,948,,,6476.96,,-612.07,,,5864.89,5864.89,0
H004 2013 Julho,4,2013,Julho,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,506.0,573,67,67,,,432.42,,-40.86,,,391.56,391.56,0
H005 2013 Julho,5,2013,Julho,2297078,2013-07-18,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,6546.0,6727,181,181,Lido,,1214.57,,-114.78,,,1099.79,1099.79,0
H006 2013 Julho,6,2013,Julho,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,643.0,721,78,78,,,507.89,,-48.0,,,459.89,459.89,0
H007 2013 Julho,7,2013,Julho,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,580.0,652,72,72,,,466.72,,-44.1,,,422.62,422.62,0
H008 2013 Julho,8,2013,Julho,2297159,2013-07-18,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,1454.0,1899,445,445,Lido,,3025.88,,-285.95,,,2739.93,2739.93,0
H009 2013 Julho,9,2013,Julho,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,390.0,436,46,46,,,288.34,,-27.24,,,261.1,261.1,0
H010 2013 Julho,10,2013,Julho,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1207.0,1230,23,23,,,130.53,,-12.35,,,118.18,118.18,0
H011 2013 Julho,11,2013,Julho,8149615,2013-07-18,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,723.0,786,63,63,Lido,,404.97,,-38.27,,,366.7,366.7,0
H014 2013 Julho,12,2013,Julho,2296969,2013-07-18,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,427292.0,437551,10259,10259,Lido,,70152.5,70152.5,-13258.82,,,127046.18,127046.18,0
H015 2013 Julho,13,2013,Julho,2296918,2013-07-18,A95S021949,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,5491.0,5738,247,247,Informado,,1441.57,1441.57,-272.45,,,2610.69,2610.69,0
H017 2013 Julho,14,2013,Julho,2296950,2013-07-18,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,30589.0,31655,1066,1066,Lido,,7286.56,7286.56,-1377.16,,,13195.96,13195.96,0
H018 2013 Julho,15,2013,Julho,2296640,2013-07-18,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,578.0,595,17,17,Lido,,89.37,89.37,-16.89,,,161.85,161.85,0
