CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Maio,1,2013,Maio,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2143,2175,32,32,,,192.28,,-18.17,,,174.11,174.11,0
H002 2013 Maio,2,2013,Maio,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2580,2594,14,20,,,82.68,,-7.82,,,74.86,74.86,0
H003 2013 Maio,3,2013,Maio,2297124,2013-05-18,448,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,30710,31554,844,844,Lido,,5763.41,,-544.63,,,5218.78,5218.78,0
H004 2013 Maio,4,2013,Maio,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,477,492,15,15,,,75.65,,-7.15,,,68.5,68.5,0
H005 2013 Maio,5,2013,Maio,2297078,2013-05-18,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,5984,6321,337,337,Lido,,2284.89,,-215.92,,,2068.97,2068.97,0
H006 2013 Maio,6,2013,Maio,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,494,568,74,74,,,480.44,,-45.39,,,435.05,435.05,0
H007 2013 Maio,7,2013,Maio,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,459,519,60,60,,,384.39,,-36.32,,,348.07,348.07,0
H008 2013 Maio,8,2013,Maio,2297159,2013-05-18,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,385,928,543,543,Lido,,3698.25,,-349.49,,,3348.76,3348.76,0
H009 2013 Maio,9,2013,Maio,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,305,347,42,42,,,260.89,,-24.66,,,236.23,236.23,0
H010 2013 Maio,10,2013,Maio,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1160,1183,23,23,,,130.53,,-12.35,,,118.18,118.18,0
H011 2013 Maio,11,2013,Maio,8149615,2013-05-18,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,591,654,63,63,Lido,,404.97,,-38.27,,,366.7,366.7,0
H014 2013 Maio,12,2013,Maio,2296969,2013-05-18,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,404145,415680,11535,11535,Lido,,79140.72,79140.72,-14957.59,,,143323.85,143323.85,0
H015 2013 Maio,13,2013,Maio,2296918,2013-05-17,A95S021949,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,4987,5241,254,254,Médio,,2045.71,2045.71,-386.63,,,3704.79,3704.79,0
H017 2013 Maio,14,2013,Maio,2296950,2013-05-18,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,1.0,,,,1,28256,29271,1015,1015,Lido,,7718.97,7718.97,-1458.89,,,13979.05,13979.05,0
H018 2013 Maio,15,2013,Maio,2296640,2013-05-17,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,540,553,13,13,Lido,,61.92,61.92,-11.7,,,112.14,112.14,0
H019 2013 Maio,16,2013,Maio,9097821,2013-05-17,793193,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,2140,2286,146,146,Lido,,987.86,987.86,-186.7,,,1789.02,1789.02,0
H020 2013 Maio,17,2013,Maio,2296829,2013-05-17,C09B271060,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,17906,18681,775,775,Lido,,5290.01,5290.01,-999.81,,,9580.21,9580.21,0
H021 2013 Maio,18,2013,Maio,2296632,2013-05-17,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,598,618,20,20,Médio,,82.68,82.68,-15.62,,,149.74,149.74,0
H023 2013 Maio,19,2013,Maio,2296934,2013-05-17,A93S053431,H023,CASAN,Florianópolis,Associação Volantes 1,2.0,,1.0,,3,2584,2857,273,273,Lido,,1863.79,1863.79,-352.26,,,3375.32,3375.32,0
H024 2013 Maio,20,2013,Maio,2296926,2013-05-17,A96C161864,H024,CASAN,Florianópolis,Associação Volantes 2,1.0,,1.0,,2,110,115,5,20,Mínimo,,82.68,82.68,-15.62,,,149.74,149.74,0
H025 2013 Maio,21,2013,Maio,2296900,2013-05-17,D83S122687,H025,CASAN,Florianópolis,CFM Bloco A,1.0,,,,1,4672,5109,437,437,Lido,,2970.99,2970.99,-561.52,,,5380.46,5380.46,0
H026 2013 Maio,22,2013,Maio,9912770,2013-05-17,A11C032293,H026,CASAN,Florianópolis,CFM Bloco B,1.0,,,,1,2260,2308,48,48,Lido,,302.06,302.06,-57.09,,,547.03,547.03,0
H027 2013 Maio,23,2013,Maio,2296888,2013-05-17,654300,H027,CASAN,Florianópolis,Colégio Aplicação,1.0,,1.0,,2,5054,5303,249,249,Lido,,1785.68,1785.68,-337.49,,,3233.87,3233.87,0
H028 2013 Maio,24,2013,Maio,6205615,2013-05-17,A05S578084,H028,CASAN,Florianópolis,Nativas do Horto Botânico,1.0,,,,1,7408,7408,0,10,Mínimo,,41.34,41.34,-7.82,,,74.86,74.86,0
H029 2013 Maio,25,2013,Maio,7297220,,,H029,CASAN,Florianópolis,Moradia Estudantil - Portaria,1.0,,,,1,1870,1871,1,10,,,41.34,41.34,-7.82,,,74.86,74.86,0
H030 2013 Maio,26,2013,Maio,2296276,,,H030,CASAN,Florianópolis,Moradia Estudantil,,30.0,,,30,524,1151,627,627,,,2518.95,2518.95,-476.09,,,4561.81,4561.81,0
H032 2013 Maio,27,2013,Maio,2296659,2013-05-17,C11C001977,H032,CASAN,Florianópolis,Biblioteca Central,1.0,,,,1,5955,6698,743,743,Lido,,5070.45,5070.45,-958.32,,,9182.58,9182.58,0
H033 2013 Maio,28,2013,Maio,2296667,2013-05-17,C09B271075,H033,CASAN,Florianópolis,CTC 1 - R. Delfino Conti,1.0,,1.0,,2,13298,13538,240,240,Lido,,1715.97,1715.97,-324.32,,,3107.62,3107.62,0
H034 2013 Maio,29,2013,Maio,8416621,2013-05-17,C10C005432,H034,CASAN,Florianópolis,CTC Bloco L - R. Delfino Conti,1.0,,,,1,4182,4367,185,185,Lido,,1242.02,1242.02,-234.74,,,2249.3,2249.3,0
H035 2013 Maio,30,2013,Maio,2296845,2013-05-17,A91T139268,H035,CASAN,Florianópolis,CTC 2 - INEP,1.0,,,,1,2442,2519,77,77,Médio,,501.03,501.03,-94.69,,,907.37,907.37,0
H037 2013 Maio,31,2013,Maio,6435548,2013-05-17,C09B271046,H037,CASAN,Florianópolis,CTC Bloco A - POLO,1.0,,,1.0,2,5472,5575,103,103,Lido,,652.14,652.14,-123.26,,,1181.02,1181.02,0
H038 2013 Maio,32,2013,Maio,2296683,2013-05-17,C09B271063,H038,CASAN,Florianópolis,Pavilhão Eng. Mecânica,1.0,,,,1,39137,39137,0,808,Informado,,5516.42,5516.42,-1042.61,,,9990.23,9990.23,0
H040 2013 Maio,33,2013,Maio,2296691,2013-05-17,D96T001244,H040,CASAN,Florianópolis,Reitoria I,1.0,,,,1,574,819,245,245,Lido,,1653.68,1653.68,-312.54,,,2994.82,2994.82,0
H041 2013 Maio,34,2013,Maio,2296810,2013-05-17,C09B271043,H041,CASAN,Florianópolis,CCE 1 - Básico,1.0,,1.0,,2,8148,8324,176,176,Médio,,1220.24,1220.24,-230.61,,,2209.87,2209.87,0
H042 2013 Maio,35,2013,Maio,2296802,2013-05-17,C11C007092,H042,CASAN,Florianópolis,CCE 2 - R. Eng. Andrey C. Ferreira,1.0,,,,1,3377,3740,363,363,Lido,,2463.27,2463.27,-465.56,,,4460.98,4460.98,0
