CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2013 Junho,1,2013,Junho,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2175,2218,43,43,,,267.75,,-25.3,,,242.45,242.45,0
H002 2013 Junho,2,2013,Junho,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2594,2610,16,20,,,82.68,,-7.82,,,74.86,74.86,0
H003 2013 Junho,3,2013,Junho,2297124,,,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,31554,32714,1160,1160,,,7931.49,,-749.51,,,7181.98,7181.98,0
H004 2013 Junho,4,2013,Junho,2297086,,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,492,506,14,14,,,68.78,,-6.5,,,62.28,62.28,0
H005 2013 Junho,5,2013,Junho,2297078,2013-06-19,,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,6321,6546,225,225,Lido,,1516.46,,-143.3,,,1373.16,1373.16,0
H006 2013 Junho,6,2013,Junho,9185569,,,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,568,643,75,75,,,487.3,,-46.05,,,441.25,441.25,0
H007 2013 Junho,7,2013,Junho,9185550,,,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,519,580,61,61,,,391.25,,-36.97,,,354.28,354.28,0
H008 2013 Junho,8,2013,Junho,2297159,2013-06-19,,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,928,1454,526,526,Lido,,3581.62,,-338.47,,,3243.15,3243.15,0
H009 2013 Junho,9,2013,Junho,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,347,390,43,43,,,267.75,,-25.3,,,242.45,242.45,0
H010 2013 Junho,10,2013,Junho,2297132,,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1183,1207,24,24,,,137.39,,-12.97,,,124.42,124.42,0
H011 2013 Junho,11,2013,Junho,8149615,2013-06-19,,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,654,723,69,69,Lido,,446.14,,-42.15,,,403.99,403.99,0
H014 2013 Junho,12,2013,Junho,2296969,2013-06-19,J08CA00145,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,415680,427292,11612,11612,Lido,,79683.11,79683.11,-15060.11,,,144306.11,144306.11,0
H015 2013 Junho,13,2013,Junho,2296918,2013-06-17,A95S021949,H015,CASAN,Florianópolis,Moradia Estudantil Pequena,,1.0,,,1,5241,5491,250,250,Médio,,2011.19,2011.19,-380.11,,,3642.27,3642.27,0
H017 2013 Junho,14,2013,Junho,2296950,2013-06-19,,H017,CASAN,Florianópolis,Centro de Ciências da Saúde,,,,,0,29271,30589,1318,1318,Lido,,9015.53,9015.53,-1703.93,,,16327.13,16327.13,0
H018 2013 Junho,15,2013,Junho,2296640,2013-06-17,A10C017754,H018,CASAN,Florianópolis,DAE,1.0,,,,1,553,578,25,25,Lido,,144.26,144.26,-27.28,,,261.24,261.24,0
H019 2013 Junho,16,2013,Junho,9097821,2013-06-17,793193,H019,CASAN,Florianópolis,Centro Acadêmico Socioeconômico,1.0,,1.0,,2,2286,2441,155,155,Lido,,1057.58,1057.58,-199.88,,,1915.28,1915.28,0
H020 2013 Junho,17,2013,Junho,2296829,2013-06-17,C09B271060,H020,CASAN,Florianópolis,Centro Socioeconômico,1.0,,,,1,18681,19240,559,559,Lido,,3808.03,3808.03,-719.71,,,6896.35,6896.35,0
H021 2013 Junho,18,2013,Junho,2296632,2013-06-17,B10C001813,H021,CASAN,Florianópolis,Igrejinha UFSC,2.0,,,,2,618,618,0,20,Mínimo,,82.68,82.68,-15.62,,,149.74,149.74,0
