CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_CONSUMIDO,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,VERIFICACAO,DIFERENCA
H001 2014 Março,1,2014,Março,2297094,,A00S096899,H001,CASAN,Florianópolis,Almoxarifado,1.0,,,,1,2501,2523,22,22.0,,,132.11,,-12.48,,,119.63,119.63,0
H002 2014 Março,2,2014,Março,2297116,,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,2.0,,,,2,2774,2785,11,20.0,,,88.32,,-8.34,,,79.98,79.98,0
H003 2014 Março,3,2014,Março,2297124,2014-03-19,F11C000559,H003,CASAN,Florianópolis,Biotério Central,1.0,,,,1,2520,2839,319,319.0,Lido,,2308.79,,-218.18,,,2090.61,2090.61,0
H004 2014 Março,4,2014,Março,2297086,2014-03-19,A10C021011,H004,CASAN,Florianópolis,Almoxarifado Central,1.0,,,,1,693,725,32,32.0,Lido,,205.39,,-19.41,,,185.98,185.98,0
H005 2014 Março,5,2014,Março,2297078,,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,1.0,,,,1,1394,1556,162,162.0,,,1158.15,,-109.44,,,1048.71,1048.71,0
H006 2014 Março,6,2014,Março,9185569,,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,1.0,,,,1,1181,1257,76,76.0,,,527.87,,-49.89,,,477.98,477.98,0
H007 2014 Março,7,2014,Março,9185550,2014-03-19,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,1.0,,,,1,1274,1335,61,61.0,Lido,,417.93,,-39.5,,,378.43,378.43,0
H008 2014 Março,8,2014,Março,2297159,,B10C010670,H008,CASAN,Florianópolis,Prefeitura e Restaurante,1.0,,,,1,2747,3167,420,420.0,,,3049.01,,-288.13,,,2760.88,2760.88,0
H009 2014 Março,9,2014,Março,2297140,,,H009,CASAN,Florianópolis,Prefeitura Universitária,1.0,,,,1,717,748,31,31.0,,,198.07,,-18.72,,,179.35,179.35,0
H010 2014 Março,10,2014,Março,2297132,2014-03-19,C09B271050,H010,CASAN,Florianópolis,ETUSC,1.0,,,,1,1408,1434,26,26.0,Informado,,161.42,,-15.25,,,146.17,146.17,0
H011 2014 Março,11,2014,Março,8149615,2014-03-19,B10C010661,H011,CASAN,Florianópolis,CCB MIP 1,1.0,,,,1,2278,2685,407,407.0,Lido,,2953.73,,-279.13,,,2674.6,2674.6,0
H014 2014 Março,12,2014,Março,2296969,2014-03-19,,H014,CASAN,Florianópolis,Hospital Universitário,51.0,,6.0,1.0,58,496014,505902,9888,9888.0,Lido,,72145.12,72145.12,-13635.43,,,130654.81,130654.81,0
